country|points|price
US|84|12.0
Italy|87|15.0
US|86|48.0
US|89|150.0
Italy|89|59.0
US|87|25.0
Italy|87|26.0
Spain|85|20.0
US|89|20.0
US|92|25.0
Italy|88|49.0
Portugal|83|16.0
France|88|85.0
Italy|87|12.0
France|93|
US|85|18.0
US|88|46.0
France|89|20.0
Argentina|81|6.0
Argentina|85|13.0
US|92|28.0
US|85|60.0
Italy|90|23.0
US|91|45.0
Australia|88|15.0
US|83|14.0
US|85|35.0
Austria|94|
US|86|17.0
US|84|19.0
US|89|15.0
Italy|89|40.0
Italy|92|
New Zealand|88|20.0
US|88|45.0
US|83|17.0
Italy|87|
US|83|10.0
Italy|88|14.0
US|86|18.0
US|87|18.0
South Africa|90|29.0
Argentina|84|11.0
Italy|88|21.0
Italy|88|26.0
France|87|15.0
Spain|89|9.0
Italy|87|15.0
France|90|80.0
US|88|75.0
South Africa|89|30.0
Chile|84|15.0
Australia|85|
US|85|29.0
US|85|18.0
US|90|32.0
Portugal|83|9.0
Australia|90|30.0
Argentina|86|15.0
France|90|60.0
Italy|88|13.0
US|88|38.0
US|87|32.0
US|87|11.0
Italy|91|
US|87|32.0
France|90|
US|88|54.0
Portugal|91|24.0
France|83|13.0
Chile|87|13.0
US|86|20.0
US|87|45.0
Spain|85|14.0
US|92|70.0
US|92|75.0
Argentina|92|55.0
Spain|81|6.0
US|87|16.0
Chile|86|9.0
Italy|88|80.0
US|88|16.0
Spain|86|30.0
Chile|90|35.0
US|92|118.0
Chile|85|10.0
Italy|88|32.0
France|92|149.0
Italy|86|15.0
New Zealand|90|24.0
US|84|29.0
US|90|25.0
US|87|50.0
US|87|80.0
US|90|60.0
US|85|18.0
Germany|87|11.0
Australia|84|15.0
Italy|87|
US|86|32.0
South Africa|91|26.0
Spain|85|14.0
France|87|10.0
Italy|87|15.0
US|87|15.0
Italy|84|22.0
US|91|16.0
US|83|10.0
South Africa|88|15.0
US|90|36.0
US|84|16.0
US|85|20.0
Italy|90|32.0
France|91|
Germany|97|250.0
US|87|23.0
Argentina|88|45.0
US|81|10.0
Italy|90|41.0
Italy|85|10.0
France|87|
Italy|91|
US|90|21.0
France|86|15.0
US|86|14.0
US|87|55.0
Spain|84|15.0
Italy|89|46.0
New Zealand|85|28.0
US|84|30.0
Italy|89|44.0
Italy|88|38.0
France|91|30.0
US|91|30.0
France|92|
US|83|11.0
Chile|89|28.0
US|83|25.0
Spain|84|16.0
US|94|120.0
South Africa|83|9.0
US|90|15.0
Italy|92|30.0
France|86|
US|88|32.0
US|88|28.0
France|86|
US|94|70.0
South Africa|87|30.0
US|84|14.0
Argentina|87|27.0
US|83|36.0
Australia|86|17.0
Spain|87|17.0
France|85|
US|90|34.0
US|88|13.0
US|90|22.0
Italy|88|15.0
US|87|13.0
Argentina|85|11.0
Spain|85|75.0
US|82|15.0
US|87|30.0
Italy|88|20.0
Portugal|89|18.0
US|84|16.0
France|84|11.0
New Zealand|87|38.0
France|86|17.0
US|94|60.0
US|93|30.0
US|84|36.0
US|87|25.0
Germany|88|45.0
US|87|12.0
New Zealand|89|25.0
US|86|40.0
Italy|89|25.0
France|88|16.0
Spain|89|29.0
Italy|87|
Spain|92|70.0
US|85|32.0
US|91|21.0
Australia|87|17.0
New Zealand|87|15.0
Italy|91|48.0
US|90|25.0
France|86|14.0
US|92|65.0
Germany|86|16.0
US|85|13.0
US|92|34.0
US|87|25.0
US|88|32.0
US|87|40.0
New Zealand|86|32.0
US|93|38.0
US|85|15.0
Italy|88|37.0
US|86|55.0
France|89|
France|92|72.0
US|86|29.0
US|90|37.0
Italy|89|19.0
Argentina|82|9.0
Italy|88|
Spain|82|6.0
Chile|85|10.0
US|91|20.0
US|84|42.0
France|90|24.0
Germany|83|16.0
US|86|59.0
US|93|50.0
France|87|15.0
France|85|18.0
US|89|50.0
US|83|38.0
Israel|85|35.0
US|90|50.0
France|94|61.0
US|93|50.0
Italy|86|20.0
US|93|55.0
Australia|92|40.0
US|86|33.0
Spain|88|16.0
US|91|50.0
France|91|
France|88|
Italy|91|37.0
France|88|60.0
New Zealand|89|
US|90|25.0
France|87|11.0
US|91|24.0
US|88|40.0
Chile|90|22.0
Argentina|83|12.0
Italy|87|15.0
Chile|87|15.0
France|92|
US|87|30.0
Chile|86|14.0
France|85|13.0
France|89|44.0
US|86|9.0
Spain|92|50.0
US|85|28.0
Portugal|89|
US|84|12.0
Chile|87|
US|89|15.0
Italy|86|16.0
US|84|24.0
Argentina|90|13.0
Italy|85|15.0
Spain|94|250.0
Austria|88|
Italy|86|
New Zealand|88|80.0
US|94|60.0
US|94|75.0
Spain|89|30.0
France|90|22.0
Italy|87|12.0
Argentina|87|23.0
Italy|84|15.0
US|87|15.0
Portugal|88|18.0
US|94|69.0
US|91|38.0
US|84|20.0
Spain|85|25.0
France|87|17.0
Portugal|88|16.0
US|91|20.0
Portugal|88|16.0
Portugal|88|17.0
US|88|18.0
Germany|89|21.0
Chile|95|90.0
Austria|90|42.0
Italy|84|13.0
Australia|93|30.0
France|88|
France|88|
US|91|55.0
US|84|14.0
France|88|
Italy|90|
US|89|22.0
Argentina|81|7.0
Germany|85|14.0
US|96|90.0
Australia|90|21.0
Italy|85|
Argentina|82|17.0
Slovakia|82|15.0
US|87|20.0
Spain|87|11.0
US|86|24.0
Spain|86|13.0
Portugal|89|70.0
Italy|90|56.0
US|85|42.0
US|85|36.0
France|87|13.0
US|88|16.0
Italy|87|15.0
US|90|32.0
US|84|10.0
US|91|42.0
US|86|15.0
Italy|86|
France|96|500.0
US|90|85.0
Portugal|87|
US|88|50.0
US|85|17.0
France|84|14.0
Chile|90|21.0
Chile|84|10.0
US|89|45.0
US|82|16.0
US|88|20.0
US|83|19.0
Spain|92|40.0
Argentina|87|15.0
US|84|40.0
Italy|94|100.0
South Africa|90|20.0
Chile|86|18.0
Italy|88|
Argentina|86|12.0
US|88|24.0
US|86|20.0
US|92|36.0
Chile|87|13.0
Austria|91|20.0
Italy|87|15.0
Italy|84|12.0
South Africa|90|65.0
Spain|87|27.0
France|86|32.0
New Zealand|88|22.0
Italy|90|28.0
US|91|60.0
Chile|90|35.0
US|83|22.0
US|84|60.0
France|92|
US|92|45.0
US|93|68.0
Italy|90|93.0
Italy|89|
US|87|18.0
US|86|48.0
France|91|25.0
US|84|34.0
US|86|18.0
US|91|20.0
Spain|87|29.0
US|93|45.0
Italy|90|
Spain|88|14.0
US|88|28.0
US|87|24.0
Australia|95|84.0
Canada|83|12.0
France|91|37.0
US|87|49.0
New Zealand|90|27.0
US|91|54.0
South Africa|85|15.0
US|88|38.0
US|85|15.0
Italy|88|21.0
France|89|
Italy|84|10.0
Portugal|84|8.0
US|91|36.0
France|94|
France|92|
Italy|86|25.0
Italy|91|
Italy|88|18.0
Italy|89|35.0
US|88|40.0
Australia|91|22.0
US|89|30.0
US|85|15.0
US|95|40.0
Australia|86|60.0
Spain|88|14.0
US|92|38.0
Spain|88|20.0
Portugal|90|20.0
Italy|85|
Italy|84|15.0
US|85|15.0
Australia|91|65.0
US|90|30.0
New Zealand|87|15.0
Italy|90|36.0
Italy|91|75.0
US|95|50.0
France|90|
US|84|36.0
Portugal|84|
US|92|32.0
Italy|88|55.0
US|91|36.0
US|88|55.0
US|93|70.0
Spain|85|16.0
US|87|22.0
Italy|87|18.0
Portugal|88|16.0
South Africa|84|13.0
US|83|33.0
US|85|10.0
US|94|40.0
Australia|87|25.0
Italy|89|23.0
South Africa|89|21.0
France|89|25.0
US|91|45.0
Portugal|87|21.0
Australia|86|9.0
New Zealand|87|99.0
US|86|31.0
France|90|24.0
Chile|85|12.0
France|90|
France|89|99.0
Argentina|85|16.0
US|91|29.0
Italy|86|80.0
Italy|86|
US|92|38.0
Italy|90|
US|92|45.0
US|87|36.0
Argentina|80|8.0
France|88|40.0
US|91|48.0
Portugal|93|65.0
US|86|20.0
US|85|20.0
US|93|70.0
US|84|18.0
France|90|21.0
Portugal|85|9.0
Italy|87|20.0
US|85|16.0
France|90|
Italy|87|28.0
US|92|56.0
France|90|
Chile|81|12.0
US|88|23.0
Italy|89|28.0
Germany|84|8.0
US|94|44.0
US|85|24.0
US|85|30.0
US|91|150.0
Spain|93|93.0
US|91|20.0
New Zealand|90|22.0
US|89|18.0
US|88|33.0
France|92|19.0
US|88|45.0
Italy|88|21.0
France|92|
US|88|13.0
Italy|88|65.0
US|90|22.0
US|87|32.0
US|82|15.0
Italy|88|69.0
New Zealand|85|20.0
Italy|94|75.0
US|87|24.0
Italy|89|60.0
Spain|86|12.0
US|90|42.0
Spain|87|13.0
Portugal|88|14.0
US|85|14.0
US|85|30.0
US|83|25.0
Italy|89|
France|88|90.0
US|88|27.0
US|93|35.0
Germany|87|38.0
US|90|28.0
US|89|10.0
France|88|
US|89|20.0
South Africa|89|19.0
Greece|86|17.0
Italy|92|45.0
Chile|89|25.0
New Zealand|83|16.0
Greece|88|35.0
Italy|87|40.0
South Africa|85|16.0
US|87|24.0
France|89|
Greece|89|21.0
France|90|14.0
Italy|87|25.0
France|90|57.0
US|92|32.0
US|85|32.0
US|100|200.0
France|95|
France|93|250.0
New Zealand|91|80.0
US|86|22.0
US|81|10.0
US|92|42.0
US|92|14.0
US|92|110.0
US|90|30.0
France|85|13.0
Italy|89|60.0
US|90|42.0
France|84|
US|86|45.0
Italy|88|13.0
France|90|85.0
Spain|93|131.0
US|95|75.0
South Africa|90|25.0
Germany|93|55.0
US|93|32.0
US|92|18.0
Austria|90|14.0
Austria|85|13.0
US|89|45.0
New Zealand|89|21.0
Chile|91|25.0
Spain|83|9.0
US|93|85.0
US|94|75.0
Spain|84|18.0
US|85|32.0
US|94|65.0
US|86|75.0
Austria|87|41.0
Chile|85|11.0
New Zealand|86|20.0
Italy|87|16.0
Australia|88|24.0
US|86|56.0
France|84|11.0
Australia|91|65.0
Italy|84|10.0
Australia|89|28.0
Italy|96|170.0
Italy|90|17.0
Australia|85|30.0
US|83|10.0
US|89|21.0
Germany|89|34.0
Argentina|92|90.0
Italy|90|59.0
US|83|17.0
Australia|89|19.0
Spain|87|18.0
Austria|90|25.0
US|87|25.0
US|86|10.0
Italy|87|17.0
US|88|30.0
US|85|12.0
Australia|96|120.0
Greece|87|25.0
US|89|10.0
US|89|19.0
Chile|83|
Italy|91|
US|88|8.0
France|88|16.0
US|88|65.0
US|88|20.0
US|84|9.0
Germany|86|14.0
US|82|18.0
US|94|60.0
Germany|84|9.0
US|84|38.0
US|87|60.0
Italy|88|
US|87|10.0
France|91|25.0
Spain|83|35.0
South Africa|86|15.0
Spain|89|21.0
US|87|35.0
US|91|50.0
Chile|92|85.0
US|90|50.0
France|91|23.0
Italy|86|
US|82|10.0
Italy|88|27.0
US|91|29.0
France|87|13.0
Italy|89|32.0
Italy|87|
US|91|30.0
US|86|16.0
US|89|42.0
US|85|20.0
US|83|33.0
US|85|20.0
France|94|
Chile|88|15.0
US|88|40.0
US|85|22.0
US|87|7.0
US|90|14.0
Germany|87|13.0
France|91|26.0
US|83|45.0
France|89|28.0
US|85|26.0
US|91|58.0
US|92|42.0
US|83|21.0
US|92|168.0
US|88|22.0
Italy|96|169.0
Italy|85|12.0
Spain|89|42.0
France|90|
Chile|89|11.0
Spain|87|12.0
Italy|87|
US|87|14.0
France|93|100.0
France|85|22.0
Argentina|83|16.0
Italy|85|23.0
Spain|88|12.0
US|92|35.0
Italy|89|24.0
Italy|87|20.0
Italy|89|
Italy|86|
US|86|50.0
New Zealand|91|33.0
US|85|15.0
Spain|90|30.0
Georgia|90|18.0
US|92|40.0
Portugal|86|12.0
Portugal|87|9.0
US|91|28.0
US|87|50.0
Spain|82|10.0
US|87|34.0
Chile|83|11.0
Chile|83|12.0
US|95|175.0
Spain|86|10.0
France|89|
France|93|191.0
France|90|
US|91|32.0
Spain|92|63.0
New Zealand|90|25.0
France|90|21.0
US|83|32.0
Italy|88|
US|92|55.0
US|90|24.0
France|87|16.0
US|87|39.0
Chile|88|12.0
Argentina|80|11.0
Portugal|87|75.0
Portugal|87|
US|93|35.0
Italy|84|12.0
Spain|87|8.0
Austria|86|16.0
US|88|42.0
Italy|88|40.0
US|87|28.0
Italy|88|35.0
US|90|40.0
US|88|17.0
US|86|40.0
US|90|30.0
Italy|95|
Austria|93|67.0
Italy|88|9.0
Argentina|88|18.0
Chile|83|17.0
US|89|35.0
US|90|35.0
Uruguay|80|15.0
US|84|40.0
US|91|50.0
Italy|85|16.0
US|82|27.0
France|89|29.0
Italy|87|15.0
Chile|85|23.0
US|89|40.0
France|85|15.0
US|84|42.0
France|86|
US|84|20.0
Italy|88|26.0
Chile|86|12.0
US|92|34.0
Italy|87|25.0
New Zealand|90|55.0
France|90|22.0
South Africa|90|65.0
US|81|34.0
US|91|42.0
France|89|23.0
US|80|26.0
US|88|10.0
Italy|90|
France|84|15.0
Italy|88|38.0
US|85|15.0
Italy|84|11.0
Austria|89|88.0
Italy|94|90.0
Italy|90|74.0
Spain|85|16.0
Italy|90|45.0
US|93|120.0
US|82|38.0
US|86|25.0
Portugal|92|30.0
Austria|91|36.0
Italy|89|50.0
US|88|35.0
France|91|42.0
US|82|19.0
US|89|20.0
Italy|86|12.0
France|88|19.0
Italy|87|15.0
Portugal|88|60.0
US|93|24.0
US|90|25.0
Italy|89|30.0
Austria|90|48.0
France|95|116.0
Italy|90|
US|91|65.0
US|88|32.0
Italy|89|
Argentina|87|12.0
Australia|90|74.0
US|81|8.0
Italy|90|
US|87|14.0
Austria|91|59.0
Italy|90|40.0
US|85|21.0
US|87|26.0
US|85|10.0
Argentina|84|16.0
US|86|44.0
US|89|16.0
France|87|12.0
US|86|10.0
Portugal|90|
US|92|45.0
US|86|24.0
US|87|42.0
US|87|15.0
Italy|86|
US|81|34.0
US|92|34.0
France|94|
US|86|35.0
US|89|42.0
Chile|84|12.0
US|82|35.0
Italy|91|26.0
Italy|87|12.0
Spain|86|7.0
France|86|23.0
France|82|15.0
Spain|84|9.0
US|87|12.0
Italy|91|26.0
US|86|25.0
US|93|35.0
US|84|24.0
US|87|18.0
US|82|35.0
US|88|26.0
US|88|30.0
Spain|88|7.0
US|87|32.0
France|85|24.0
US|83|32.0
US|86|17.0
Italy|87|39.0
Italy|83|18.0
Italy|87|15.0
US|90|75.0
Argentina|83|9.0
New Zealand|86|12.0
France|89|
Australia|88|28.0
Italy|87|15.0
US|88|45.0
Italy|87|19.0
Spain|88|18.0
Italy|87|19.0
US|88|65.0
US|86|45.0
France|91|
Spain|88|10.0
US|90|36.0
France|90|47.0
US|85|35.0
US|83|13.0
US|93|90.0
France|86|56.0
US|87|25.0
Argentina|89|15.0
Italy|92|65.0
France|85|
US|87|14.0
South Africa|84|9.0
US|88|28.0
US|85|12.0
France|92|
US|88|40.0
US|90|28.0
US|87|24.0
Spain|85|9.0
US|95|125.0
US|88|50.0
US|90|30.0
US|90|
France|88|59.0
Argentina|92|90.0
US|83|28.0
Israel|86|25.0
Spain|88|42.0
US|93|36.0
France|92|22.0
Portugal|94|50.0
US|85|28.0
US|88|18.0
Spain|90|35.0
Argentina|86|19.0
Italy|91|
Italy|86|25.0
US|92|30.0
US|89|30.0
US|84|24.0
US|84|15.0
Argentina|80|12.0
France|86|23.0
Italy|87|28.0
US|85|25.0
France|91|
US|84|28.0
New Zealand|86|8.0
US|88|50.0
US|84|13.0
South Africa|91|39.0
US|88|38.0
US|90|80.0
Italy|87|12.0
US|90|135.0
France|88|20.0
South Africa|87|28.0
Portugal|86|9.0
US|91|25.0
US|86|13.0
Italy|90|39.0
Germany|88|25.0
US|91|25.0
US|85|17.0
US|88|20.0
US|86|25.0
Italy|89|40.0
Spain|87|18.0
Italy|87|25.0
Greece|86|15.0
Germany|87|20.0
Australia|90|70.0
US|84|6.0
US|95|80.0
Italy|88|
France|84|13.0
US|90|25.0
US|89|35.0
US|87|45.0
New Zealand|84|19.0
US|85|21.0
France|94|48.0
Italy|92|
Italy|88|20.0
US|88|25.0
US|100|245.0
Australia|84|7.0
US|86|15.0
Italy|88|14.0
US|90|35.0
Germany|87|42.0
US|90|26.0
France|92|56.0
France|87|12.0
US|85|12.0
France|90|19.0
France|91|70.0
Australia|90|75.0
Italy|90|75.0
US|89|28.0
New Zealand|88|16.0
Italy|86|10.0
Germany|92|26.0
US|84|9.0
France|86|
US|86|10.0
Argentina|90|30.0
France|87|
US|92|48.0
France|88|34.0
Argentina|89|22.0
US|87|36.0
US|86|14.0
Spain|87|9.0
US|89|24.0
Italy|92|50.0
France|87|49.0
France|90|
Spain|85|16.0
Italy|86|21.0
US|89|30.0
US|87|14.0
US|93|48.0
US|88|12.0
France|86|12.0
US|85|16.0
Chile|84|15.0
Portugal|84|10.0
US|93|35.0
US|88|40.0
France|88|25.0
France|87|35.0
Italy|87|65.0
US|87|18.0
Bulgaria|84|8.0
US|94|70.0
Spain|85|30.0
US|85|45.0
US|98|147.0
New Zealand|82|29.0
France|87|20.0
US|91|34.0
Portugal|90|26.0
Greece|87|13.0
US|86|30.0
US|84|15.0
Italy|90|88.0
US|88|42.0
France|91|112.0
Italy|89|22.0
Germany|92|48.0
Austria|91|70.0
Chile|87|17.0
Chile|86|12.0
Italy|92|54.0
Portugal|85|12.0
Italy|87|28.0
Portugal|92|100.0
Austria|91|52.0
US|89|32.0
France|97|229.0
Italy|82|28.0
US|87|17.0
US|87|16.0
Italy|85|12.0
Mexico|81|22.0
Italy|95|
US|89|38.0
US|84|13.0
US|87|19.0
US|83|20.0
France|89|20.0
US|88|18.0
France|87|50.0
US|89|12.0
France|94|131.0
US|92|49.0
US|87|22.0
US|91|42.0
Italy|92|55.0
Italy|85|
Italy|88|20.0
France|97|281.0
Spain|84|10.0
South Africa|86|15.0
Italy|87|15.0
US|90|30.0
Spain|87|23.0
US|90|30.0
France|92|26.0
France|91|
France|87|19.0
France|92|
Italy|92|29.0
Chile|85|11.0
Australia|90|15.0
US|84|15.0
Italy|91|45.0
US|90|45.0
Italy|86|20.0
Chile|84|12.0
US|91|80.0
Portugal|86|8.0
Italy|89|
US|82|17.0
Austria|90|
France|90|
US|91|42.0
US|87|16.0
US|86|16.0
US|87|23.0
New Zealand|88|21.0
France|95|
US|82|55.0
US|82|20.0
Chile|83|22.0
US|85|25.0
US|86|35.0
Portugal|90|25.0
Portugal|90|9.0
US|86|42.0
US|87|24.0
US|87|20.0
Italy|94|
Italy|88|29.0
US|82|15.0
US|90|17.0
Australia|83|9.0
France|94|180.0
France|88|
Germany|90|50.0
France|90|12.0
New Zealand|87|14.0
US|87|20.0
Portugal|86|10.0
US|86|28.0
France|85|14.0
Austria|90|35.0
France|88|95.0
Australia|85|18.0
France|85|12.0
Argentina|86|14.0
US|90|20.0
France|93|
US|81|26.0
Italy|87|14.0
Australia|87|20.0
Germany|87|18.0
Spain|91|60.0
France|87|17.0
Italy|84|22.0
Italy|90|50.0
US|87|20.0
US|94|38.0
US|90|32.0
US|92|34.0
Italy|87|13.0
US|85|13.0
US|87|22.0
Chile|89|23.0
US|84|13.0
Italy|87|18.0
US|86|30.0
South Africa|84|15.0
US|92|45.0
Italy|83|10.0
US|87|
France|92|45.0
US|90|135.0
Italy|92|120.0
US|92|
US|87|19.0
Spain|85|20.0
Portugal|89|57.0
Argentina|90|25.0
Portugal|90|45.0
Italy|86|23.0
Austria|88|
US|94|95.0
Italy|90|24.0
US|81|72.0
US|90|111.0
Italy|87|15.0
US|84|18.0
New Zealand|90|18.0
US|91|26.0
Mexico|82|30.0
Spain|88|20.0
Italy|88|
US|87|18.0
Spain|91|35.0
US|84|25.0
Argentina|86|16.0
US|91|33.0
Italy|85|25.0
US|86|20.0
Germany|87|12.0
Italy|93|125.0
Italy|84|8.0
France|89|46.0
Austria|95|92.0
Argentina|84|30.0
Spain|90|30.0
US|94|66.0
Spain|84|12.0
US|91|33.0
US|89|55.0
US|87|40.0
Italy|83|
US|86|75.0
US|82|25.0
France|91|114.0
France|90|27.0
Italy|87|50.0
France|85|24.0
Spain|91|24.0
Portugal|88|11.0
France|87|45.0
Argentina|87|13.0
France|86|19.0
US|90|26.0
Greece|84|20.0
US|92|65.0
France|89|
US|86|18.0
France|88|45.0
US|91|41.0
Chile|91|55.0
New Zealand|86|25.0
Italy|92|49.0
France|86|9.0
France|93|120.0
Australia|85|22.0
France|92|70.0
Spain|88|20.0
Italy|89|20.0
New Zealand|85|12.0
France|92|
US|82|13.0
US|87|24.0
US|84|24.0
France|84|11.0
US|85|15.0
US|90|35.0
US|86|29.0
Spain|87|15.0
US|82|17.0
Italy|86|21.0
France|85|15.0
France|84|
US|91|40.0
France|86|9.0
France|92|
US|88|35.0
France|90|45.0
Italy|84|22.0
Spain|83|10.0
Australia|92|28.0
Germany|86|28.0
Italy|91|30.0
Italy|88|33.0
US|91|20.0
US|87|40.0
US|88|8.0
Italy|88|21.0
Australia|86|13.0
US|91|40.0
US|90|20.0
Chile|87|20.0
US|85|30.0
France|87|44.0
Portugal|84|10.0
France|90|
Australia|89|28.0
US|83|20.0
Spain|86|7.0
US|88|34.0
US|91|110.0
Spain|85|12.0
US|87|29.0
France|92|28.0
US|86|25.0
France|89|26.0
Spain|90|28.0
US|95|125.0
US|81|6.0
US|86|16.0
US|88|17.0
Spain|91|32.0
New Zealand|89|22.0
Spain|88|17.0
France|92|
US|85|65.0
US|88|34.0
US|95|48.0
US|94|55.0
US|89|30.0
Chile|86|15.0
France|90|
France|83|
Argentina|90|28.0
US|88|40.0
Italy|93|32.0
US|81|15.0
Italy|87|40.0
US|88|19.0
US|82|25.0
US|82|23.0
US|84|40.0
France|89|22.0
US|94|125.0
France|90|65.0
Australia|88|16.0
Germany|90|18.0
US|84|11.0
US|82|22.0
Greece|86|9.0
US|89|17.0
Argentina|84|11.0
US|90|54.0
Spain|88|37.0
Spain|85|20.0
France|90|
US|84|18.0
US|93|55.0
US|90|20.0
Israel|87|65.0
France|88|22.0
Germany|92|
Portugal|85|13.0
Italy|87|
Italy|89|28.0
Romania|88|100.0
US|84|15.0
Germany|91|24.0
US|86|25.0
US|90|50.0
US|92|50.0
US|84|28.0
Italy|90|55.0
New Zealand|89|24.0
US|83|20.0
Spain|82|9.0
Spain|91|15.0
New Zealand|83|14.0
Italy|88|34.0
France|87|
US|91|35.0
US|90|48.0
US|93|45.0
US|89|37.0
Italy|85|18.0
US|82|30.0
US|85|19.0
US|83|28.0
US|91|40.0
Australia|91|30.0
France|86|
US|88|28.0
Spain|86|8.0
US|86|16.0
Australia|88|20.0
US|86|42.0
Argentina|85|9.0
Italy|92|97.0
US|93|125.0
US|85|9.0
Spain|81|21.0
US|92|21.0
Spain|85|17.0
US|88|25.0
US|87|28.0
South Africa|90|25.0
France|90|
Italy|86|21.0
France|91|39.0
US|84|14.0
US|90|14.0
US|88|28.0
New Zealand|87|18.0
Italy|89|40.0
Italy|87|15.0
Spain|87|20.0
US|83|30.0
Germany|87|14.0
US|90|15.0
US|94|65.0
Italy|87|
Italy|91|
Portugal|92|18.0
US|92|75.0
US|85|25.0
Spain|89|15.0
US|90|29.0
Bosnia and Herzegovina|83|13.0
Portugal|91|25.0
Italy|86|
Italy|83|16.0
US|88|35.0
Chile|84|15.0
Chile|84|10.0
France|89|
France|83|
Austria|90|26.0
US|84|14.0
Portugal|91|
US|91|55.0
US|84|18.0
Spain|86|10.0
US|93|20.0
US|83|22.0
France|87|13.0
US|86|28.0
US|90|25.0
New Zealand|87|15.0
Australia|87|25.0
US|83|24.0
US|90|35.0
Argentina|85|17.0
US|88|19.0
US|90|45.0
US|86|24.0
US|90|65.0
US|92|33.0
New Zealand|88|36.0
Italy|86|15.0
South Africa|90|32.0
US|87|24.0
Italy|91|
Portugal|84|16.0
Chile|87|16.0
New Zealand|92|29.0
Spain|93|62.0
US|91|20.0
US|92|34.0
US|90|75.0
US|88|15.0
Chile|86|19.0
US|91|26.0
France|87|18.0
US|85|10.0
France|92|78.0
France|80|11.0
France|96|
Chile|87|10.0
France|86|16.0
US|85|12.0
US|89|40.0
Italy|89|16.0
US|87|25.0
US|86|12.0
Italy|89|26.0
Portugal|90|17.0
Italy|92|
Argentina|87|15.0
Chile|87|18.0
France|85|
US|85|30.0
Spain|82|10.0
France|90|24.0
Italy|91|52.0
Austria|85|26.0
Argentina|85|8.0
US|85|12.0
US|87|12.0
Italy|84|13.0
US|87|28.0
France|89|19.0
France|93|34.0
France|85|11.0
US|80|18.0
Austria|90|
US|90|13.0
US|82|8.0
US|86|13.0
US|85|15.0
France|92|
Spain|88|15.0
US|88|20.0
Australia|94|89.0
US|91|45.0
US|91|54.0
France|87|17.0
Italy|90|60.0
Spain|84|12.0
Spain|82|20.0
Italy|88|10.0
US|88|20.0
Italy|87|21.0
New Zealand|90|26.0
Spain|89|15.0
France|95|45.0
US|86|28.0
Chile|89|20.0
Spain|87|14.0
Italy|86|15.0
Italy|92|70.0
US|92|50.0
Spain|88|20.0
France|88|11.0
Italy|87|16.0
Croatia|88|20.0
US|86|13.0
US|84|8.0
US|93|42.0
US|87|86.0
US|85|12.0
Portugal|89|
Spain|85|13.0
France|88|
France|88|16.0
US|88|35.0
France|87|22.0
France|84|27.0
US|86|25.0
France|90|27.0
Italy|85|20.0
US|81|26.0
US|84|15.0
South Africa|85|10.0
US|92|29.0
Austria|85|
US|90|30.0
Croatia|83|13.0
Italy|85|12.0
US|86|14.0
US|95|25.0
US|87|35.0
France|90|79.0
France|88|
US|84|22.0
US|89|22.0
US|88|14.0
New Zealand|89|18.0
US|81|18.0
US|87|25.0
Australia|88|30.0
US|82|32.0
US|91|40.0
Germany|90|32.0
US|87|20.0
Spain|93|62.0
Australia|87|19.0
US|84|9.0
Italy|90|40.0
US|86|30.0
Spain|85|10.0
Argentina|83|14.0
Australia|89|100.0
US|91|115.0
Chile|87|9.0
US|90|48.0
US|87|25.0
Italy|90|56.0
France|86|
New Zealand|88|15.0
US|89|50.0
US|91|20.0
New Zealand|87|15.0
US|84|12.0
US|85|65.0
Italy|90|80.0
Italy|87|28.0
Italy|85|10.0
France|90|30.0
Israel|86|30.0
US|83|18.0
US|88|16.0
France|91|
US|87|35.0
