School Name,Location Code,District,New?
P.S. 015 ROBERTO CLEMENTE,01M015,1,Y
P.S. 019 ASHER LEVY,01M019,1,Y
P.S. 020 ANNA SILVER,01M020,1,Y
P.S. 034 FRANKLIN D. ROOSEVELT,01M034,1,Y
THE STAR ACADEMY - P.S.63,01M063,1,Y
P.S. 064 ROBERT SIMON,01M064,1,Y
P.S. 110 FLORENCE NIGHTINGALE,01M110,1,Y
P.S. 134 HENRIETTA SZOLD,01M134,1,Y
P.S. 140 NATHAN STRAUS,01M140,1,Y
P.S. 142 AMALIA CASTRO,01M142,1,Y
P.S. 184M SHUANG WEN,01M184,1,Y
P.S. 188 THE ISLAND SCHOOL,01M188,1,Y
ORCHARD COLLEGIATE ACADEMY,01M292,1,Y
"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",01M301,1,Y
THE EAST VILLAGE COMMUNITY SCHOOL,01M315,1,Y
UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,1,Y
THE CHILDREN'S WORKSHOP SCHOOL,01M361,1,Y
NEIGHBORHOOD SCHOOL,01M363,1,Y
EARTH SCHOOL,01M364,1,Y
SCHOOL FOR GLOBAL LEADERS,01M378,1,Y
EAST SIDE COMMUNITY SCHOOL,01M450,1,Y
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",01M539,1,Y
TOMPKINS SQUARE MIDDLE SCHOOL,01M839,1,Y
P.S. 001 ALFRED E. SMITH,02M001,2,Y
P.S. 002 MEYER LONDON,02M002,2,Y
P.S. 003 CHARRETTE SCHOOL,02M003,2,Y
P.S. 006 LILLIE D. BLAKE,02M006,2,Y
P.S. 011 WILLIAM T. HARRIS,02M011,2,Y
P.S. 033 CHELSEA PREP,02M033,2,Y
P.S. 040 AUGUSTUS SAINT-GAUDENS,02M040,2,Y
P.S. 041 GREENWICH VILLAGE,02M041,2,Y
P.S. 042 BENJAMIN ALTMAN,02M042,2,Y
P.S. 051 ELIAS HOWE,02M051,2,Y
P.S. 059 BEEKMAN HILL INTERNATIONAL,02M059,2,Y
P.S. 77 LOWER LAB SCHOOL,02M077,2,Y
P.S. 89,02M089,2,Y
J.H.S. 104 SIMON BARUCH,02M104,2,Y
P.S. 111 ADOLPH S. OCHS,02M111,2,Y
EAST SIDE MIDDLE SCHOOL,02M114,2,Y
P.S. 116 MARY LINDLEY MURRAY,02M116,2,Y
P.S. 124 YUNG WING,02M124,2,Y
P.S. 126 JACOB AUGUST RIIS,02M126,2,Y
P.S. 130 HERNANDO DE SOTO,02M130,2,Y
M.S. 131,02M131,2,Y
P.S. 150,02M150,2,Y
YORKVILLE COMMUNITY SCHOOL,02M151,2,Y
P.S. 158 BAYARD TAYLOR,02M158,2,Y
J.H.S. 167 ROBERT F. WAGNER,02M167,2,Y
YORKVILLE EAST MIDDLE SCHOOL,02M177,2,Y
P.S. 183 ROBERT L. STEVENSON,02M183,2,Y
P.S. 198 ISADOR E. IDA STRAUS,02M198,2,Y
P.S. 212 MIDTOWN WEST,02M212,2,Y
P.S./I.S. 217 ROOSEVELT ISLAND,02M217,2,Y
ELLA BAKER SCHOOL,02M225,2,Y
P.S. 234 INDEPENDENCE SCHOOL,02M234,2,Y
M.S. 255 SALK SCHOOL OF SCIENCE,02M255,2,Y
M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,02M260,2,Y
"EAST SIDE ELEMENTARY SCHOOL, PS 267",02M267,2,Y
BATTERY PARK CITY SCHOOL,02M276,2,Y
I.S. 289,02M289,2,Y
P.S. 290 MANHATTAN NEW SCHOOL,02M290,2,Y
NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,02M312,2,Y
THE PECK SLIP SCHOOL,02M343,2,N
THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,02M347,2,Y
SPRUCE STREET SCHOOL,02M397,2,Y
INSTITUTE FOR COLLABORATIVE EDUCATION,02M407,2,Y
PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,02M408,2,Y
SCHOOL OF THE FUTURE HIGH SCHOOL,02M413,2,Y
QUEST TO LEARN,02M422,2,Y
"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",02M442,2,Y
P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,02M527,2,N
LIFE SCIENCES SECONDARY SCHOOL,02M655,2,Y
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,02M896,2,Y
CITY KNOLL MIDDLE SCHOOL,02M933,2,Y
P.S. 009 SARAH ANDERSON,03M009,3,Y
J.H.S. 054 BOOKER T. WASHINGTON,03M054,3,Y
P.S. 075 EMILY DICKINSON,03M075,3,Y
P.S. 076 A. PHILIP RANDOLPH,03M076,3,Y
P.S. 084 LILLIAN WEBER,03M084,3,Y
P.S. 087 WILLIAM SHERMAN,03M087,3,Y
"P.S. 145, THE BLOOMINGDALE SCHOOL",03M145,3,Y
P.S. 149 SOJOURNER TRUTH,03M149,3,Y
P.S. 163 ALFRED E. SMITH,03M163,3,Y
P.S. 165 ROBERT E. SIMON,03M165,3,Y
P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,03M166,3,Y
P.S. 180 HUGO NEWMAN,03M180,3,Y
P.S. 191 AMSTERDAM,03M191,3,Y
P.S. 199 JESSIE ISADOR STRAUS,03M199,3,Y
P.S. 208 ALAIN L. LOCKE,03M208,3,Y
STEM INSTITUTE OF MANHATTAN,03M241,3,Y
P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,03M242,3,Y
M.S. 243 CENTER SCHOOL,03M243,3,Y
M.S. M245 THE COMPUTER SCHOOL,03M245,3,Y
M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,03M247,3,Y
M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,03M250,3,Y
M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,03M256,3,Y
COMMUNITY ACTION SCHOOL - MS 258,03M258,3,Y
WEST END SECONDARY SCHOOL,03M291,3,N
P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,03M333,3,Y
THE ANDERSON SCHOOL,03M334,3,Y
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,03M415,3,Y
WEST PREP ACADEMY,03M421,3,Y
P.S. 452,03M452,3,Y
SPECIAL MUSIC SCHOOL,03M859,3,Y
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,03M860,3,Y
MOTT HALL II,03M862,3,Y
P.S. 007 SAMUEL STERN,04M007,4,Y
TAG YOUNG SCHOLARS,04M012,4,Y
RIVER EAST ELEMENTARY,04M037,4,Y
P.S. 38 ROBERTO CLEMENTE,04M038,4,Y
P.S. 050 VITO MARCANTONIO,04M050,4,Y
JAMES WELDON JOHNSON,04M057,4,Y
THE LEXINGTON ACADEMY,04M072,4,Y
P.S. 083 LUIS MUNOZ RIVERA,04M083,4,Y
P.S. 096 JOSEPH LANZETTA,04M096,4,Y
P.S. 102 JACQUES CARTIER,04M102,4,Y
P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,04M108,4,Y
P.S. 146 ANN M. SHORT,04M146,4,Y
P.S. 155 WILLIAM PACA,04M155,4,Y
P.S. 171 PATRICK HENRY,04M171,4,Y
THE BILINGUAL BICULTURAL SCHOOL,04M182,4,Y
P.S. 206 JOSE CELSO BARBOSA,04M206,4,Y
M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,04M224,4,Y
ESPERANZA PREPARATORY ACADEMY,04M372,4,Y
MOSAIC PREPARATORY ACADEMY,04M375,4,Y
RENAISSANCE SCHOOL OF THE ARTS,04M377,4,Y
GLOBAL TECHNOLOGY PREPARATORY,04M406,4,Y
CENTRAL PARK EAST I,04M497,4,Y
YOUNG WOMEN'S LEADERSHIP SCHOOL,04M610,4,Y
ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,04M825,4,Y
CENTRAL PARK EAST II,04M964,4,Y
P.S. 030 HERNANDEZ/HUGHES,05M030,5,Y
P.S. 036 MARGARET DOUGLAS,05M036,5,Y
P.S. 046 ARTHUR TAPPAN,05M046,5,Y
P.S. 092 MARY MCLEOD BETHUNE,05M092,5,Y
P.S. 123 MAHALIA JACKSON,05M123,5,Y
P.S. 125 RALPH BUNCHE,05M125,5,Y
P.S. 129 JOHN H. FINLEY,05M129,5,Y
P.S. 133 FRED R MOORE,05M133,5,Y
EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,05M148,5,Y
P.S. 154 HARRIET TUBMAN,05M154,5,Y
P.S. 161 PEDRO ALBIZU CAMPOS,05M161,5,Y
P.S. 175 HENRY H GARNET,05M175,5,Y
P.S. 194 COUNTEE CULLEN,05M194,5,Y
P.S. 197 JOHN B. RUSSWURM,05M197,5,Y
P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,05M200,5,Y
URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,05M286,5,Y
KAPPA IV,05M302,5,Y
THURGOOD MARSHALL ACADEMY LOWER SCHOOL,05M318,5,Y
COLUMBIA SECONDARY SCHOOL,05M362,5,Y
FREDERICK DOUGLASS ACADEMY,05M499,5,Y
NEW DESIGN MIDDLE SCHOOL,05M514,5,Y
TEACHERS COLLEGE COMMUNITY SCHOOL,05M517,5,N
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,05M670,5,Y
P.S. 004 DUKE ELLINGTON,06M004,6,Y
P.S. 005 ELLEN LURIE,06M005,6,Y
P.S. 008 LUIS BELLIARD,06M008,6,Y
P.S. 018 PARK TERRACE,06M018,6,Y
P.S. 028 WRIGHT BROTHERS,06M028,6,Y
P.S. 048 P.O. MICHAEL J. BUCZEK,06M048,6,Y
J.H.S. 052 INWOOD,06M052,6,Y
P.S. 098 SHORAC KAPPOCK,06M098,6,Y
P.S. 115 ALEXANDER HUMBOLDT,06M115,6,Y
P.S. 128 AUDUBON,06M128,6,Y
P.S. 132 JUAN PABLO DUARTE,06M132,6,Y
J.H.S. 143 ELEANOR ROOSEVELT,06M143,6,Y
P.S. 152 DYCKMAN VALLEY,06M152,6,Y
P.S. 153 ADAM CLAYTON POWELL,06M153,6,Y
P.S. 173,06M173,6,Y
PROFESSOR JUAN BOSCH PUBLIC SCHOOL,06M178,6,Y
P.S./I.S. 187 HUDSON CLIFFS,06M187,6,Y
P.S. 189,06M189,6,Y
P.S. 192 JACOB H. SCHIFF,06M192,6,Y
HAMILTON GRANGE MIDDLE SCHOOL,06M209,6,Y
P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,06M210,6,Y
I.S. 218 SALOME URENA,06M218,6,Y
THE MOTT HALL SCHOOL,06M223,6,Y
PAULA HEDBAVNY SCHOOL,06M278,6,Y
CITY COLLEGE ACADEMY OF THE ARTS,06M293,6,Y
AMISTAD DUAL LANGUAGE SCHOOL,06M311,6,Y
MUSCOTA,06M314,6,Y
M.S. 319 - MARIA TERESA,06M319,6,Y
MIDDLE SCHOOL 322,06M322,6,Y
M.S. 324 - PATRIA MIRABAL,06M324,6,Y
P.S. 325,06M325,6,Y
M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,06M328,6,Y
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,06M346,6,Y
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,06M348,6,Y
HARBOR HEIGHTS,06M349,6,Y
WASHINGTON HEIGHTS ACADEMY,06M366,6,Y
HAMILTON HEIGHTS SCHOOL,06M368,6,Y
CASTLE BRIDGE SCHOOL,06M513,6,N
I.S. 528 BEA FULLER RODGERS SCHOOL,06M528,6,Y
P.S. 001 COURTLANDT SCHOOL,07X001,7,Y
P.S. 5 PORT MORRIS,07X005,7,Y
P.S. 018 JOHN PETER ZENGER,07X018,7,Y
P.S. 025 BILINGUAL SCHOOL,07X025,7,Y
P.S./M.S. 029 MELROSE SCHOOL,07X029,7,Y
P.S. 030 WILTON,07X030,7,Y
P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,07X031,7,Y
P.S. 043 JONAS BRONCK,07X043,7,Y
P.S. 049 WILLIS AVENUE,07X049,7,Y
P.S. 065 MOTHER HALE ACADEMY,07X065,7,Y
J.H.S. 151 LOU GEHRIG,07X151,7,Y
P.S. 154 JONATHAN D. HYATT,07X154,7,Y
P.S. 157 GROVE HILL,07X157,7,Y
P.S. 161 JUAN PONCE DE LEON SCHOOL,07X161,7,Y
J.H.S. 162 LOLA RODRIGUEZ DE TIO,07X162,7,Y
P.S. 179,07X179,7,Y
SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,07X221,7,Y
M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,07X223,7,Y
P.S./I.S. 224,07X224,7,Y
P.S. 277,07X277,7,Y
SOUTH BRONX ACADEMY FOR APPLIED MEDIA,07X296,7,Y
ACADEMY OF PUBLIC RELATIONS,07X298,7,Y
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,07X343,7,Y
CONCOURSE VILLAGE ELEMENTARY SCHOOL,07X359,7,Y
YOUNG LEADERS ELEMENTARY SCHOOL,07X369,7,Y
HOSTOS-LINCOLN ACADEMY OF SCIENCE,07X500,7,Y
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,07X551,7,Y
P.S. X014 SENATOR JOHN CALANDRA,08X014,8,Y
P.S. 036 UNIONPORT,08X036,8,Y
P.S. 048 JOSEPH R. DRAKE,08X048,8,Y
P.S. 062 INOCENSIO CASANOVA,08X062,8,Y
P.S. 069 JOURNEY PREP SCHOOL,08X069,8,Y
P.S. 071 ROSE E. SCALA,08X071,8,Y
P.S. 072 DR. WILLIAM DORNEY,08X072,8,Y
P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,08X075,8,Y
P.S. 093 ALBERT G. OLIVER,08X093,8,Y
P.S. 100 ISAAC CLASON,08X100,8,Y
M.S. X101 EDWARD R. BYRNE,08X101,8,Y
P.S. 107,08X107,8,Y
THE DR. EMMETT W. BASSETT SCHOOL,08X119,8,Y
J.H.S. 123 JAMES M. KIERAN,08X123,8,Y
J.H.S. 125 HENRY HUDSON,08X125,8,Y
P.S. 130 ABRAM STEVENS HEWITT,08X130,8,Y
J.H.S. 131 ALBERT EINSTEIN,08X131,8,Y
P.S. 138 SAMUEL RANDALL,08X138,8,Y
P.S. X140 THE EAGLE SCHOOL,08X140,8,Y
P.S. 146 EDWARD COLLINS,08X146,8,Y
P.S. 152 EVERGREEN,08X152,8,Y
P.S. 182,08X182,8,Y
BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,08X269,8,Y
M.S. 301 PAUL L. DUNBAR,08X301,8,Y
M.S. 302 LUISA DESSUS CRUZ,08X302,8,Y
P.S. 304 EARLY CHILDHOOD SCHOOL,08X304,8,Y
P.S. 333 - THE MUSEUM SCHOOL,08X333,8,Y
THE ACADEMY OF THE ARTS,08X335,8,Y
THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,08X337,8,Y
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",08X367,8,Y
URBAN INSTITUTE OF MATHEMATICS,08X371,8,Y
THE BRONX MATHEMATICS PREPARATORY SCHOOL,08X375,8,Y
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,08X376,8,Y
THE HUNTS POINT SCHOOL,08X424,8,Y
SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,08X448,8,Y
MOTT HALL COMMUNITY SCHOOL,08X467,8,Y
BLUEPRINT MIDDLE SCHOOL,08X562,8,Y
P.S./M.S. 004 CROTONA PARK WEST,09X004,9,Y
P.S. 011 HIGHBRIDGE,09X011,9,Y
J.H.S. 022 JORDAN L. MOTT,09X022,9,Y
P.S. 028 MOUNT HOPE,09X028,9,Y
P.S. 035 FRANZ SIEGEL,09X035,9,Y
P.S. 042 CLAREMONT,09X042,9,Y
P.S. 053 BASHEER QUISIM,09X053,9,Y
P.S. 055 BENJAMIN FRANKLIN,09X055,9,Y
P.S. 058,09X058,9,Y
P.S. 063 AUTHOR'S ACADEMY,09X063,9,Y
P.S. 070 MAX SCHOENFELD,09X070,9,Y
P.S. 073 BRONX,09X073,9,Y
P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,09X088,9,Y
P.S. 109 SEDGWICK,09X109,9,Y
P.S. 110 THEODORE SCHOENFELD,09X110,9,Y
P.S. X114 - LUIS LLORENS TORRES SCHOOLS,09X114,9,Y
I.S. 117 JOSEPH H. WADE,09X117,9,Y
P.S. 126 DR MARJORIE H DUNBAR,09X126,9,Y
MOTT HALL III,09X128,9,Y
P.S. 132 GARRET A. MORGAN,09X132,9,Y
J.H.S. 145 ARTURO TOSCANINI,09X145,9,Y
P.S. 163 ARTHUR A. SCHOMBURG,09X163,9,Y
P.S. 199X - THE SHAKESPEARE SCHOOL,09X199,9,Y
P.S. 204 MORRIS HEIGHTS,09X204,9,Y
KAPPA,09X215,9,Y
P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,09X218,9,Y
I.S. 219 NEW VENTURE SCHOOL,09X219,9,Y
I.S. 229 ROLAND PATTERSON,09X229,9,Y
EAGLE ACADEMY FOR YOUNG MEN,09X231,9,Y
I.S. 232,09X232,9,Y
P.S. 236 LANGSTON HUGHES,09X236,9,Y
"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",09X241,9,Y
THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,09X274,9,Y
THE WALTON AVENUE SCHOOL,09X294,9,Y
I.S. X303 LEADERSHIP & COMMUNITY SERVICE,09X303,9,Y
LUCERO ELEMENTARY SCHOOL,09X311,9,Y
I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,09X313,9,Y
BRONX WRITING ACADEMY,09X323,9,Y
BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,09X324,9,Y
URBAN SCIENCE ACADEMY,09X325,9,Y
COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,09X327,9,Y
NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,09X328,9,Y
I.S. 339,09X339,9,Y
NEW DIRECTIONS SECONDARY SCHOOL,09X350,9,Y
THE HIGHBRIDGE GREEN SCHOOL,09X361,9,Y
BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,09X413,9,Y
THE FAMILY SCHOOL,09X443,9,Y
GRANT AVENUE ELEMENTARY SCHOOL,09X449,9,Y
SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,09X454,9,Y
SHERIDAN ACADEMY FOR YOUNG LEADERS,09X457,9,Y
"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",09X505,9,Y
MOUNT EDEN CHILDREN'S ACADEMY,09X555,9,Y
YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,09X568,9,Y
P.S. 3 RAUL JULIA MICRO SOCIETY,10X003,10,Y
MILTON FEIN SCHOOL,10X007,10,Y
P.S. 008 ISAAC VARIAN,10X008,10,Y
P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,10X009,10,Y
P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,10X015,10,Y
"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",10X020,10,Y
P.S. 023 THE NEW CHILDREN'S SCHOOL,10X023,10,Y
P.S. 024 SPUYTEN DUYVIL,10X024,10,Y
P.S. 032 BELMONT,10X032,10,Y
P.S. 033 TIMOTHY DWIGHT,10X033,10,Y
P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,10X037,10,Y
THOMAS C. GIORDANO MIDDLE SCHOOL 45,10X045,10,Y
P.S. 046 EDGAR ALLAN POE,10X046,10,Y
P.S. 051 BRONX NEW SCHOOL,10X051,10,Y
P.S./I.S. 54,10X054,10,Y
P.S. 056 NORWOOD HEIGHTS,10X056,10,Y
P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,10X059,10,Y
J.H.S. 080 THE MOSHOLU PARKWAY,10X080,10,Y
P.S. 081 ROBERT J. CHRISTEN,10X081,10,Y
P.S. 085 GREAT EXPECTATIONS,10X085,10,Y
P.S. 086 KINGSBRIDGE HEIGHTS,10X086,10,Y
P.S. 091 BRONX,10X091,10,Y
P.S. 094 KINGS COLLEGE SCHOOL,10X094,10,Y
P.S. 095 SHEILA MENCHER,10X095,10,Y
J.H.S. 118 WILLIAM W. NILES,10X118,10,Y
RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),10X141,10,Y
P.S. 159 LUIS MUNOZ MARIN BILING,10X159,10,Y
P.S. 205 FIORELLO LAGUARDIA,10X205,10,Y
I.S. 206 ANN MERSEREAU,10X206,10,Y
THEATRE ARTS PRODUCTION COMPANY SCHOOL,10X225,10,Y
P.S. 226,10X226,10,Y
JONAS BRONCK ACADEMY,10X228,10,Y
WEST BRONX ACADEMY FOR THE FUTURE,10X243,10,Y
THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,10X244,10,Y
P.S. 246 POE CENTER,10X246,10,Y
I.S. 254,10X254,10,Y
"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",10X279,10,Y
P.S./M.S. 280 MOSHOLU PARKWAY,10X280,10,Y
P.S. 291,10X291,10,Y
P.S. 306,10X306,10,Y
LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,10X307,10,Y
BRONX DANCE ACADEMY SCHOOL,10X308,10,Y
P.S. 310 MARBLE HILL,10X310,10,Y
P.S. 315 LAB SCHOOL,10X315,10,Y
THE BRONX SCHOOL OF YOUNG LEADERS,10X331,10,Y
P.S. 340,10X340,10,Y
INTERNATIONAL SCHOOL FOR LIBERAL ARTS,10X342,10,Y
AMPARK NEIGHBORHOOD,10X344,10,Y
P.S. 360,10X360,10,Y
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,10X363,10,Y
IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),10X368,10,Y
"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",10X382,10,Y
SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,10X386,10,Y
M.S. 390,10X390,10,Y
THE ANGELO PATRI MIDDLE SCHOOL,10X391,10,Y
P.S. 396,10X396,10,Y
CRESTON ACADEMY,10X447,10,Y
EAST FORDHAM ACADEMY FOR THE ARTS,10X459,10,Y
P.S. 016 WAKEFIELD,11X016,11,Y
P.S. 019 JUDITH K. WEISS,11X019,11,Y
P.S. 021 PHILIP H. SHERIDAN,11X021,11,Y
P.S. 041 GUN HILL ROAD,11X041,11,Y
P.S. 068 BRONX,11X068,11,Y
P.S. 076 THE BENNINGTON SCHOOL,11X076,11,Y
P.S. 078 ANNE HUTCHINSON,11X078,11,Y
P.S. 083 DONALD HERTZ,11X083,11,Y
P.S. 087 BRONX,11X087,11,Y
P.S. 089 BRONX,11X089,11,Y
P.S. 096 RICHARD RODGERS,11X096,11,Y
P.S. 097 BRONX,11X097,11,Y
P.S. 103 HECTOR FONTANEZ,11X103,11,Y
P.S. 105 SEN ABRAHAM BERNSTEIN,11X105,11,Y
P.S. 106 PARKCHESTER,11X106,11,Y
P.S. 108 PHILIP J. ABINANTI,11X108,11,Y
P.S. 111 SETON FALLS,11X111,11,Y
P.S. 112 BRONXWOOD,11X112,11,Y
P.S. 121 THROOP,11X121,11,Y
J.H.S. 127 THE CASTLE HILL,11X127,11,Y
J.H.S. 144 MICHELANGELO,11X144,11,Y
P.S. 153 HELEN KELLER,11X153,11,Y
P.S. 160 WALT DISNEY,11X160,11,Y
BAYCHESTER ACADEMY,11X169,11,Y
P.S. 175 CITY ISLAND,11X175,11,Y
P.S. 178 - DR. SELMAN WAKSMAN,11X178,11,Y
M.S. 180 DR. DANIEL HALE WILLIAMS,11X180,11,Y
I.S. 181 PABLO CASALS,11X181,11,Y
CORNERSTONE ACADEMY FOR SOCIAL ACTION,11X189,11,Y
P.S./M.S. 194,11X194,11,Y
NORTH BRONX SCHOOL OF EMPOWERMENT,11X287,11,Y
THE YOUNG SCHOLARS ACADEMY OF THE BRONX,11X289,11,Y
BRONX GREEN MIDDLE SCHOOL,11X326,11,Y
BRONX ALLIANCE MIDDLE SCHOOL,11X355,11,Y
LEADERS OF TOMORROW,11X370,11,Y
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),11X462,11,Y
PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,11X468,11,Y
P.S./M.S. 11X498 - VAN NEST ACADEMY,11X498,11,Y
ONE WORLD MIDDLE SCHOOL AT EDENWALD,11X529,11,Y
BAYCHESTER MIDDLE SCHOOL,11X532,11,Y
BRONX PARK MIDDLE SCHOOL,11X556,11,Y
PELHAM GARDENS MIDDLE SCHOOL,11X566,11,Y
LINDEN TREE ELEMENTARY SCHOOL,11X567,11,N
P.S. 006 WEST FARMS,12X006,12,Y
P.S. 044 DAVID C. FARRAGUT,12X044,12,Y
P.S. 047 JOHN RANDOLPH,12X047,12,Y
P.S. 057 CRESCENT,12X057,12,Y
P.S. 061 FRANCISCO OLLER,12X061,12,Y
P.S. 066 SCHOOL OF HIGHER EXPECTATIONS,12X066,12,Y
P.S. 067 MOHEGAN SCHOOL,12X067,12,Y
P.S. 092 BRONX,12X092,12,Y
J.H.S. 098 HERMAN RIDDER,12X098,12,Y
M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,12X129,12,Y
P.S. 134 GEORGE F. BRISTOW,12X134,12,Y
P.S. 150 CHARLES JAMES FOX,12X150,12,Y
E.S.M.T- I.S. 190,12X190,12,Y
P.S. 195,12X195,12,Y
P.S. 196,12X196,12,Y
P.S. 211,12X211,12,Y
P.S. 212,12X212,12,Y
P.S. 214,12X214,12,Y
SCHOOL OF PERFORMING ARTS,12X217,12,Y
MOTT HALL V,12X242,12,Y
BRONX LATIN,12X267,12,Y
EAST BRONX ACADEMY FOR THE FUTURE,12X271,12,Y
FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,12X273,12,Y
FANNIE LOU HAMER MIDDLE SCHOOL,12X286,12,Y
THE SCHOOL OF SCIENCE AND APPLIED LEARNING,12X300,12,Y
