School Name,Location Code,District,New?
FAIRMONT NEIGHBORHOOD SCHOOL,12X314,12,Y
KAPPA III,12X316,12,Y
"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",12X318,12,Y
ACCION ACADEMY,12X341,12,Y
URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,12X372,12,Y
EMOLIOR ACADEMY,12X383,12,Y
ENTRADA ACADEMY,12X384,12,Y
URBAN SCHOLARS COMMUNITY SCHOOL,12X463,12,Y
ARCHER ELEMENTARY SCHOOL,12X531,12,Y
P.S. 536,12X536,12,Y
BRONX LITTLE SCHOOL,12X691,12,Y
P.S. 003 THE BEDFORD VILLAGE,13K003,13,Y
P.S. 008 ROBERT FULTON,13K008,13,Y
P.S. 009 TEUNIS G. BERGEN,13K009,13,Y
P.S. 011 PURVIS J. BEHAN,13K011,13,Y
P.S. 020 CLINTON HILL,13K020,13,Y
P.S. 044 MARCUS GARVEY,13K044,13,Y
P.S. 046 EDWARD C. BLUM,13K046,13,Y
P.S. 054 SAMUEL C. BARNES,13K054,13,Y
P.S. 056 LEWIS H. LATIMER,13K056,13,Y
P.S. 067 CHARLES A. DORSEY,13K067,13,Y
P.S. 093 WILLIAM H. PRESCOTT,13K093,13,Y
M.S. 113 RONALD EDMONDS LEARNING CENTER,13K113,13,Y
P.S. 133 WILLIAM A. BUTLER,13K133,13,Y
P.S. 256 BENJAMIN BANNEKER,13K256,13,Y
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,13K265,13,Y
M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,13K266,13,Y
P.S. 270 JOHANN DEKALB,13K270,13,Y
P.S. 282 PARK SLOPE,13K282,13,Y
P.S. 287 BAILEY K. ASHFORD,13K287,13,Y
SATELLITE EAST MIDDLE SCHOOL,13K301,13,Y
P.S. 305 DR. PETER RAY,13K305,13,Y
P.S. 307 DANIEL HALE WILLIAMS,13K307,13,Y
SATELLITE WEST MIDDLE SCHOOL,13K313,13,Y
THE URBAN ASSEMBLY UNISON SCHOOL,13K351,13,Y
ACADEMY OF ARTS AND LETTERS,13K492,13,Y
URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,13K527,13,Y
FORT GREENE PREPARATORY ACADEMY,13K691,13,Y
P.S. 016 LEONARD DUNKLY,14K016,14,Y
P.S. 017 HENRY D. WOODWORTH,14K017,14,Y
P.S. 018 EDWARD BUSH,14K018,14,Y
P.S. 023 CARTER G. WOODSON,14K023,14,Y
P.S. 031 SAMUEL F. DUPONT,14K031,14,Y
P.S. 034 OLIVER H. PERRY,14K034,14,Y
J.H.S. 050 JOHN D. WELLS,14K050,14,Y
P.S. 059 WILLIAM FLOYD,14K059,14,Y
JUAN MOREL CAMPOS SECONDARY SCHOOL,14K071,14,Y
P.S. 084 JOSE DE DIEGO,14K084,14,Y
P.S. 110 THE MONITOR,14K110,14,Y
P.S. 120 CARLOS TAPIA,14K120,14,Y
JOHN ERICSSON MIDDLE SCHOOL 126,14K126,14,Y
P.S. 132 THE CONSELYEA SCHOOL,14K132,14,Y
P.S. 147 ISAAC REMSEN,14K147,14,Y
P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,14K157,14,Y
P.S. 196 TEN EYCK,14K196,14,Y
P.S. 250 GEORGE H. LINDSAY,14K250,14,Y
P.S. 257 JOHN F. HYLAN,14K257,14,Y
P.S. 297 ABRAHAM STOCKTON,14K297,14,Y
I.S. 318 EUGENIO MARIA DE HOSTOS,14K318,14,Y
P.S. 380 JOHN WAYNE ELEMENTARY,14K380,14,Y
BROOKLYN ARBOR ELEMENTARY SCHOOL,14K414,14,Y
CONSELYEA PREPARATORY SCHOOL,14K577,14,Y
M.S. 582,14K582,14,Y
LYONS COMMUNITY SCHOOL,14K586,14,Y
YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,14K614,14,Y
P.S. 001 THE BERGEN,15K001,15,Y
"MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY",15K010,15,Y
P.S. 015 PATRICK F. DALY,15K015,15,Y
P.S. 024,15K024,15,Y
P.S. 029 JOHN M. HARRIGAN,15K029,15,Y
P.S. 032 SAMUEL MILLS SPROLE,15K032,15,Y
P.S. 038 THE PACIFIC,15K038,15,Y
P.S. 039 HENRY BRISTOW,15K039,15,Y
M.S. 51 WILLIAM ALEXANDER,15K051,15,Y
P.S. 058 THE CARROLL,15K058,15,Y
J.H.S. 088 PETER ROUGET,15K088,15,Y
P.S. 094 THE HENRY LONGFELLOW,15K094,15,Y
P.S. 107 JOHN W. KIMBALL,15K107,15,Y
P.S. 124 SILAS B. DUTCHER,15K124,15,Y
P.S. 130 THE PARKSIDE,15K130,15,Y
P.S. 131 BROOKLYN,15K131,15,Y
I.S. 136 CHARLES O. DEWEY,15K136,15,Y
"THE BROOKLYN NEW SCHOOL, P.S. 146",15K146,15,Y
THE WINDSOR TERRACE SCHOOL,15K154,15,Y
P.S. 169 SUNSET PARK,15K169,15,Y
P.S. 172 BEACON SCHOOL OF EXCELLENCE,15K172,15,Y
P.S. 230 DORIS L. COHEN,15K230,15,Y
P.S. 261 PHILIP LIVINGSTON,15K261,15,Y
P.S. 295,15K295,15,Y
P.S. 321 WILLIAM PENN,15K321,15,Y
P.S. 372 -THE CHILDREN'S SCHOOL,15K418,15,N
DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,15K429,15,Y
M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,15K442,15,Y
NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,15K443,15,Y
THE MATH & SCIENCE EXPLORATORY SCHOOL,15K447,15,Y
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,15K448,15,Y
PARK SLOPE COLLEGIATE,15K464,15,Y
SCHOOL FOR INTERNATIONAL STUDIES,15K497,15,Y
RED HOOK NEIGHBORHOOD SCHOOL,15K676,15,Y
SUNSET PARK PREP,15K821,15,Y
M.S. 839,15K839,15,N
P.S. 005 DR. RONALD MCNAIR,16K005,16,Y
P.S. 021 CRISPUS ATTUCKS,16K021,16,Y
P.S. 025 EUBIE BLAKE SCHOOL,16K025,16,Y
P.S. 026 JESSE OWENS,16K026,16,Y
P.S. 028 THE WARREN PREP ACADEMY,16K028,16,Y
M.S. 035 STEPHEN DECATUR,16K035,16,Y
P.S. 040 GEORGE W. CARVER,16K040,16,Y
J.H.S. 057 WHITELAW REID,16K057,16,Y
P.S. 081 THADDEUS STEVENS,16K081,16,Y
P.S. 243K- THE WEEKSVILLE SCHOOL,16K243,16,Y
P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,16K262,16,Y
"M.S. 267 MATH, SCIENCE & TECHNOLOGY",16K267,16,Y
P.S. 308 CLARA CARDWELL,16K308,16,Y
P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,16K309,16,Y
P.S. 335 GRANVILLE T. WOODS,16K335,16,Y
M.S. 584,16K584,16,Y
BRIGHTER CHOICE COMMUNITY SCHOOL,16K627,16,Y
BROOKLYN BROWNSTONE SCHOOL,16K628,16,Y
MADIBA PREP MIDDLE SCHOOL,16K681,16,Y
PARKSIDE PREPARATORY ACADEMY,17K002,17,Y
NORMA ADAMS CLEMONS ACADEMY,17K006,17,Y
DR. JACQUELINE PEEK-DAVIS SCHOOL,17K012,23,Y
M.S. 061 DR. GLADSTONE H. ATWELL,17K061,17,Y
P.S. 091 THE ALBANY AVENUE SCHOOL,17K091,17,Y
P.S. 092 ADRIAN HEGEMAN,17K092,17,Y
P.S. 138 BROOKLYN,17K138,17,Y
P.S. 161 THE CROWN,17K161,17,Y
P.S. 181 BROOKLYN,17K181,17,Y
P.S. 189 THE BILINGUAL CENTER,17K189,17,Y
P.S. 191 PAUL ROBESON,17K191,17,Y
P.S. 221 TOUSSAINT L'OUVERTURE,17K221,17,Y
P.S. 241 EMMA L. JOHNSTON,17K241,17,Y
M.S. 246 WALT WHITMAN,17K246,17,Y
P.S. 249 THE CATON,17K249,17,Y
P.S. 289 GEORGE V. BROWER,17K289,17,Y
P.S. 316 ELIJAH STROUD,17K316,17,Y
I.S. 340,17K340,13,Y
EBBETS FIELD MIDDLE SCHOOL,17K352,17,Y
ELIJAH STROUD MIDDLE SCHOOL,17K353,17,Y
THE SCHOOL OF INTEGRATED LEARNING,17K354,17,Y
P.S. 375 JACKIE ROBINSON SCHOOL,17K375,17,Y
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,17K382,17,Y
M.S. K394,17K394,17,Y
P.S. 397 FOSTER-LAURIE,17K397,17,Y
P.S. 398 WALTER WEAVER,17K398,17,Y
P.S. 399 STANLEY EUGENE CLARK,17K399,17,Y
RONALD EDMONDS LEARNING CENTER II,17K484,23,Y
"SCHOOL FOR HUMAN RIGHTS, THE",17K531,17,Y
NEW BRIDGES ELEMENTARY,17K532,17,Y
SCHOOL FOR DEMOCRACY AND LEADERSHIP,17K533,17,Y
"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",17K543,17,Y
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,17K590,17,Y
BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,17K705,17,Y
NEW HEIGHTS MIDDLE SCHOOL,17K722,17,Y
P.S. 770 NEW AMERICAN ACADEMY,17K770,17,Y
P.S. 66,18K066,18,Y
I.S. 068 ISAAC BILDERSEE,18K068,18,Y
P.S. 114 RYDER ELEMENTARY,18K114,18,Y
P.S. 115 DANIEL MUCATEL SCHOOL,18K115,18,Y
P.S. 135 SHELDON A. BROOKNER,18K135,18,Y
P.S. 208 ELSA EBELING,18K208,18,Y
I.S. 211 JOHN WILSON,18K211,18,Y
P.S. 219 KENNEDY-KING,18K219,18,Y
P.S. 233 LANGSTON HUGHES,18K233,18,Y
P.S. 235 JANICE MARIE KNIGHT SCHOOL,18K235,18,Y
P.S. 244 RICHARD R. GREEN,18K244,18,Y
P.S. 268 EMMA LAZARUS,18K268,18,Y
P.S. 272 CURTIS ESTABROOK,18K272,18,Y
P.S. 276 LOUIS MARSHALL,18K276,18,Y
P.S. 279 HERMAN SCHREIBER,18K279,18,Y
I.S. 285 MEYER LEVIN,18K285,18,Y
THE SCIENCE AND MEDICINE MIDDLE SCHOOL,18K366,18,Y
EAST FLATBUSH COMMUNITY RESEARCH SCHOOL,18K581,18,Y
MIDDLE SCHOOL FOR ART AND PHILOSOPHY,18K588,18,Y
MIDDLE SCHOOL OF MARKETING AND LEGAL STUDIES,18K598,18,Y
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,18K763,18,Y
P.S. 007 ABRAHAM LINCOLN,19K007,19,Y
P.S. 013 ROBERTO CLEMENTE,19K013,19,Y
P.S. 065,19K065,19,Y
P.S. 089 CYPRESS HILLS,19K089,19,Y
P.S. 108 SAL ABBRACCIAMENTO,19K108,19,Y
P.S. 149 DANNY KAYE,19K149,19,Y
P.S. 158 WARWICK,19K158,19,Y
P.S. 159 ISAAC PITKIN,19K159,19,Y
I.S. 171 ABRAHAM LINCOLN,19K171,19,Y
P.S. 190 SHEFFIELD,19K190,19,Y
P.S. 202 ERNEST S. JENKYNS,19K202,19,Y
P.S. 213 NEW LOTS,19K213,19,Y
P.S. 214 MICHAEL FRIEDSAM,19K214,19,Y
J.H.S. 218 JAMES P. SINNOTT,19K218,19,Y
P.S. 224 HALE A. WOODRUFF,19K224,19,Y
P.S. 273 WORTMAN,19K273,19,Y
P.S. 290 JUAN MOREL CAMPOS,19K290,19,Y
J.H.S. 292 MARGARET S. DOUGLAS,19K292,19,Y
P.S. 306 ETHAN ALLEN,19K306,19,Y
ESSENCE SCHOOL,19K311,19,Y
THE FRESH CREEK SCHOOL,19K325,19,Y
P.S. 328 PHYLLIS WHEATLEY,19K328,19,Y
P.S. 345 PATROLMAN ROBERT BOLDEN,19K345,19,Y
P.S. 346 ABE STARK,19K346,19,Y
I.S. 364 GATEWAY,19K364,19,Y
ACADEMY FOR YOUNG WRITERS,19K404,19,Y
EAST NEW YORK FAMILY ACADEMY,19K409,19,Y
SPRING CREEK COMMUNITY SCHOOL,19K422,19,Y
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,19K452,19,Y
BROOKLYN GARDENS ELEMENTARY SCHOOL,19K557,19,Y
VAN SICLEN COMMUNITY MIDDLE SCHOOL,19K654,19,Y
VISTA ACADEMY,19K661,19,Y
LIBERTY AVENUE MIDDLE SCHOOL,19K662,19,Y
SCHOOL OF THE FUTURE BROOKLYN,19K663,19,Y
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,19K677,19,Y
EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,19K678,19,Y
HIGHLAND PARK COMMUNITY SCHOOL,19K760,19,Y
P.S./I.S. 30 MARY WHITE OVINGTON,20K030,20,Y
P.S. 048 MAPLETON,20K048,20,Y
J.H.S. 062 DITMAS,20K062,20,Y
P.S. 69 VINCENT D. GRIPPO SCHOOL,20K069,20,Y
P.S. 102 THE BAYVIEW,20K102,20,Y
P.S./I.S. 104 THE FORT HAMILTON SCHOOL,20K104,20,Y
P.S. 105 THE BLYTHEBOURNE,20K105,20,Y
P.S. 112 LEFFERTS PARK,20K112,20,Y
P.S. 127 MCKINLEY PARK,20K127,20,Y
P.S. 160 WILLIAM T. SAMPSON,20K160,20,Y
P.S. 163 BATH BEACH,20K163,20,Y
P.S. 164 CAESAR RODNEY,20K164,20,Y
RALPH A. FABRIZIO SCHOOL,20K170,20,Y
P.S. 176 OVINGTON,20K176,20,Y
P.S. 179 KENSINGTON,20K179,20,Y
THE SEEALL ACADEMY,20K180,20,Y
P.S. 185 WALTER KASSENBROCK,20K185,20,Y
P.S. 186 DR. IRVING A GLADSTONE,20K186,20,Y
THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,20K187,20,Y
P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,20K192,20,Y
P.S. 200 BENSON SCHOOL,20K200,20,Y
J.H.S. 201 THE DYKER HEIGHTS,20K201,20,Y
P.S. 204 VINCE LOMBARDI,20K204,20,Y
P.S. 205 CLARION,20K205,20,Y
J.H.S. 220 JOHN J. PERSHING,20K220,20,Y
J.H.S. 223 THE MONTAUK,20K223,20,Y
J.H.S. 227 EDWARD B. SHALLOW,20K227,20,Y
P.S. 229 DYKER,20K229,20,Y
P.S. 247 BROOKLYN,20K247,20,Y
J.H.S. 259 WILLIAM MCKINLEY,20K259,20,Y
P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,20K264,20,Y
THE SCHOOL FOR FUTURE LEADERS,20K310,20,Y
P.S. 503: THE SCHOOL OF DISCOVERY,20K503,20,Y
P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,20K506,20,Y
URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,20K609,20,Y
THE ACADEMY OF TALENTED SCHOLARS,20K682,20,Y
BROOKLYN SCHOOL OF INQUIRY,20K686,20,Y
P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,20K748,20,Y
"SCHOOL OF MATH, SCIENCE, AND HEALTHY LIVING",20K971,20,Y
P.S. 90 EDNA COHEN SCHOOL,21K090,21,Y
P.S. 095 THE GRAVESEND,21K095,21,Y
I.S. 096 SETH LOW,21K096,21,Y
P.S. 97 THE HIGHLAWN,21K097,21,Y
I.S. 98 BAY ACADEMY,21K098,21,Y
P.S. 099 ISAAC ASIMOV,21K099,21,Y
P.S. 100 THE CONEY ISLAND SCHOOL,21K100,21,Y
P.S. 101 THE VERRAZANO,21K101,21,Y
P.S. 121 NELSON A. ROCKEFELLER,21K121,21,Y
P.S. 128 BENSONHURST,21K128,21,Y
P.S. 153 HOMECREST,21K153,21,Y
P.S. 177 THE MARLBORO,21K177,21,Y
P.S. 188 MICHAEL E. BERDY,21K188,21,Y
P.S. 199 FREDERICK WACHTEL,21K199,21,Y
P.S. 209 MARGARET MEAD,21K209,21,Y
P.S. 212 LADY DEBORAH MOODY,21K212,21,Y
P.S. 215 MORRIS H. WEISS,21K215,21,Y
P.S. 216 ARTURO TOSCANINI,21K216,21,Y
P.S. K225 - THE EILEEN E. ZAGLIN,21K225,21,Y
P.S. 226 ALFRED DE B.MASON,21K226,21,Y
I.S. 228 DAVID A. BOODY,21K228,21,Y
P.S. 238 ANNE SULLIVAN,21K238,21,Y
MARK TWAIN I.S. 239 FOR THE GIFTED & TALENTED,21K239,21,Y
P.S. 253,21K253,21,Y
I.S. 281 JOSEPH B CAVALLARO,21K281,21,Y
P.S. 288 THE SHIRLEY TANYHILL,21K288,21,Y
I.S. 303 HERBERT S. EISENBERG,21K303,21,Y
P.S. 329 SURFSIDE,21K329,21,Y
KINGSBOROUGH EARLY COLLEGE SCHOOL,21K468,21,Y
BROOKLYN STUDIO SECONDARY SCHOOL,21K690,21,Y
J.H.S. 014 SHELL BANK,22K014,22,Y
P.S. 052 SHEEPSHEAD BAY,22K052,22,Y
J.H.S. 078 ROY H. MANN,22K078,22,Y
P.S. 109,22K109,22,Y
P.S. 119 AMERSFORT,22K119,22,Y
P.S. K134,22K134,22,Y
P.S. 139 ALEXINE A. FENTY,22K139,22,Y
SCHOOL OF SCIENCE & TECHNOLOGY,22K152,22,Y
P.S. 193 GIL HODGES,22K193,22,Y
P.S. 194 RAOUL WALLENBERG,22K194,22,Y
P.S. 195 MANHATTAN BEACH,22K195,22,Y
P.S. 197 - THE KINGS HIGHWAY ACADEMY,22K197,22,Y
P.S. 198 BROOKLYN,22K198,22,Y
P.S. 203 FLOYD BENNETT SCHOOL,22K203,22,Y
P.S. 206 JOSEPH F LAMB,22K206,22,Y
P.S. 207 ELIZABETH G. LEARY,22K207,22,Y
P.S. 217 COLONEL DAVID MARCUS SCHOOL,22K217,22,Y
P.S. 222 KATHERINE R. SNYDER,22K222,22,Y
J.H.S. 234 ARTHUR W. CUNNINGHAM,22K234,22,Y
P.S. 236 MILL BASIN,22K236,22,Y
ANDRIES HUDDE,22K240,22,Y
P.S. 245,22K245,22,Y
P.S. 251 PAERDEGAT,22K251,22,Y
P.S. 254 DAG HAMMARSKJOLD,22K254,22,Y
P.S. 255 BARBARA REING SCHOOL,22K255,22,Y
P.S. 269 NOSTRAND,22K269,22,Y
P.S. 277 GERRITSEN BEACH,22K277,22,Y
J.H.S. 278 MARINE PARK,22K278,22,Y
P.S. 312 BERGEN BEACH,22K312,22,Y
P.S. K315,22K315,22,Y
I. S. 381,22K381,22,Y
P.S. 041 FRANCIS WHITE,23K041,23,Y
P.S./I.S. 137 RACHEL JEAN MITCHELL,23K137,23,Y
P.S. 150 CHRISTOPHER,23K150,23,Y
P.S./ I.S. 155 NICHOLAS HERKIMER,23K155,23,Y
P.S. 156 WAVERLY,23K156,23,Y
P.S. 165 IDA POSNER,23K165,23,Y
P.S. 178 SAINT CLAIR MCKELWAY,23K178,23,Y
P.S. 184 NEWPORT,23K184,23,Y
"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",23K284,23,Y
P.S. 298 DR. BETTY SHABAZZ,23K298,23,Y
P.S./I.S. 323,23K323,23,Y
P.S. 327 DR. ROSE B. ENGLISH,23K327,23,Y
BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,23K363,23,Y
I.S. 392,23K392,23,Y
CHRISTOPHER AVENUE COMMUNITY SCHOOL,23K401,23,Y
RIVERDALE AVENUE COMMUNITY SCHOOL,23K446,23,Y
KAPPA V (KNOWLEDGE AND POWER PREPARATORY ACADEMY),23K518,23,Y
MOTT HALL IV,23K522,23,Y
BROOKLYN LANDMARK ELEMENTARY SCHOOL,23K599,23,Y
EAGLE ACADEMY FOR YOUNG MEN II,23K644,23,Y
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),23K664,23,Y
RIVERDALE AVENUE MIDDLE SCHOOL,23K668,23,Y
MOTT HALL BRIDGES ACADEMY,23K671,23,Y
TEACHERS PREPARATORY HIGH SCHOOL,23K697,23,Y
I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL,24Q005,24,Y
P.S. 007 LOUIS F. SIMEONE,24Q007,24,Y
P.S. 012 JAMES B. COLGATE,24Q012,24,Y
P.S. 013 CLEMENT C. MOORE,24Q013,24,Y
P.S. 014 FAIRVIEW,24Q014,24,Y
P.S. Q016 THE NANCY DEBENEDITTIS SCHOOL,24Q016,24,Y
P.S. 019 MARINO JEANTET,24Q019,24,Y
P.S. 049 DOROTHY BONAWIT KOLE,24Q049,24,Y
P.S. 58 - THE SCHOOL OF HEROES,24Q058,24,Y
I.S. 061 LEONARDO DA VINCI,24Q061,24,Y
P.S. 068 CAMBRIDGE,24Q068,24,Y
P.S. 071 FOREST,24Q071,24,Y
I.S. 73 - THE FRANK SANSIVIERI INTERMEDIATE SCHOOL,24Q073,24,Y
I.S. 077,24Q077,24,Y
P.S. 81Q JEAN PAUL RICHTER,24Q081,24,Y
P.S./I.S. 087 MIDDLE VILLAGE,24Q087,24,Y
P.S. 088 SENECA,24Q088,24,Y
P.S. 089 ELMHURST,24Q089,24,Y
P.S. 091 RICHARD ARKWRIGHT,24Q091,24,Y
I.S. 093 RIDGEWOOD,24Q093,24,Y
P.S. 102 BAYVIEW,24Q102,24,Y
P.S. 110,24Q110,24,N
P.S./I.S. 113 ANTHONY J. PRANZO,24Q113,24,Y
I.S. 119 THE GLENDALE,24Q119,24,Y
I.S. 125 THOM J. MCCANN WOODSIDE,24Q125,24,Y
"P.S. 128 THE LORRAINE TUZZO, JUNIPER VALLEY ELEMENTARY SCHOOL",24Q128,24,Y
P.S. 143 LOUIS ARMSTRONG,24Q143,24,Y
P.S. 153 MASPETH ELEM,24Q153,24,Y
P.S. 199 MAURICE A. FITZGERALD,24Q199,24,Y
P.S. 229 EMANUEL KAPLAN,24Q229,24,Y
P.S. 239,24Q239,24,Y
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,24Q290,24,Y
LEARNERS AND LEADERS,24Q305,24,Y
PIONEER ACADEMY,24Q307,24,Y
CORONA ARTS AND SCIENCES ACADEMY,24Q311,24,Y
P.S. 330,24Q330,24,Y
"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",24Q560,24,Y
THE 51 AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),24Q877,24,Y
P.S. 020 JOHN BOWNE,25Q020,25,Y
P.S. 021 EDWARD HART,25Q021,25,Y
P.S. 022 THOMAS JEFFERSON,25Q022,25,Y
P.S. 024 ANDREW JACKSON,25Q024,25,Y
I.S. 025 ADRIEN BLOCK,25Q025,25,Y
P.S. 029 QUEENS,25Q029,25,Y
P.S. 032 STATE STREET,25Q032,25,Y
P.S. 079 FRANCIS LEWIS,25Q079,25,Y
P.S. 107 THOMAS A DOOLEY,25Q107,25,Y
P.S. 120 QUEENS,25Q120,25,Y
P.S. 129 PATRICIA LARKIN,25Q129,25,Y
P.S. 130,25Q130,26,Y
P.S. 154 QUEENS,25Q154,25,Y
P.S. 163 FLUSHING HEIGHTS,25Q163,25,Y
P.S. 164 QUEENS VALLEY,25Q164,25,Y
P.S. 165 EDITH K. BERGTRAUM,25Q165,25,Y
P.S. 169 BAY TERRACE,25Q169,25,Y
P.S. 184 FLUSHING MANOR,25Q184,25,Y
J.H.S. 185 EDWARD BLEEKER,25Q185,25,Y
J.H.S. 189 DANIEL CARTER BEARD,25Q189,25,Y
P.S. 193 ALFRED J. KENNEDY,25Q193,25,Y
J.H.S. 194 WILLIAM CARR,25Q194,25,Y
P.S./M.S. 200 - THE POMONOK SCHOOL & STAR ACADEMY,25Q200,25,Y
P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESEARCH,25Q201,25,Y
P.S. 209 CLEARVIEW GARDENS,25Q209,25,Y
P.S. 214 CADWALLADER COLDEN,25Q214,25,Y
P.S. 219 PAUL KLAPPER,25Q219,25,Y
I.S. 237,25Q237,25,Y
P.S. 242 LEONARD P. STAVISKY EARLY CHILDHOOD SCHOOL,25Q242,25,Y
THE ACTIVE LEARNING ELEMENTARY SCHOOL,25Q244,25,Y
I.S. 250 THE ROBERT F. KENNEDY COMMUNITY MIDDLE SCHOOL,25Q250,25,Y
"QUEENS SCHOOL OF INQUIRY, THE",25Q252,25,Y
EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,25Q281,25,Y
WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,25Q285,25,Y
BELL ACADEMY,25Q294,25,Y
"THE QUEENS COLLEGE SCHOOL FOR MATH, SCIENCE AND TECHNOLOGY",25Q499,25,Y
P.S. 018 WINCHESTER,26Q018,26,Y
P.S. 026 RUFUS KING,26Q026,26,Y
P.S. 031 BAYSIDE,26Q031,26,Y
P.S. 041 CROCHERON,26Q041,26,Y
P.S. 046 ALLEY POND,26Q046,26,Y
J.H.S. 067 LOUIS PASTEUR,26Q067,26,Y
J.H.S. 074 NATHANIEL HAWTHORNE,26Q074,26,Y
P.S. 094 DAVID D. PORTER,26Q094,26,Y
P.S. 098 THE DOUGLASTON SCHOOL,26Q098,26,Y
THE JAMES J. AMBROSE SCHOOL,26Q115,26,Y
P.S. 133 QUEENS,26Q133,26,Y
M.S. 158 MARIE CURIE,26Q158,26,Y
P.S. 159,26Q159,26,Y
P.S. 162 JOHN GOLDEN,26Q162,26,Y
IRWIN ALTMAN MIDDLE SCHOOL 172,26Q172,26,Y
P.S. 173 FRESH MEADOWS,26Q173,26,Y
P.S./ IS 178 HOLLISWOOD,26Q178,26,Y
P.S. 186 CASTLEWOOD,26Q186,26,Y
P.S. 188 KINGSBURY,26Q188,26,Y
P.S. 191 MAYFLOWER,26Q191,26,Y
P.S. 203 OAKLAND GARDENS,26Q203,26,Y
P.S. 205 ALEXANDER GRAHAM BELL,26Q205,26,Y
P.S. 213 THE CARL ULLMAN SCHOOL,26Q213,26,Y
J.H.S. 216 GEORGE J. RYAN,26Q216,26,Y
