Department,Job_Title,Hourly_Rate
Police Department,Pol Comms Dispatcher Supv,46.62
Police Department,Pol Ofcr-Motorcycle,49.94
Parks Department,Laborer,21.6
Dept of Finance & Admn Svc,Auto Mechanic,33.58
City Light,Elec-Con Core CC,50.54
City Light,Res&Eval Asst-BU,31.93
Human Services,Human Svcs Coord,29.09
Fire Department,Fireftr-90.46 Hrs,40.39
Parks Department,Lifeguard *,16.47
Parks Department,Rec Leader *,17.52
Seattle Information Technology,Info Technol Techl Support *,24.1
Dept of Finance & Admn Svc,Janitor-FAS/CL,21.03
City Light,Pwr Marketer-BU,44.53
City Light,Admin Spec I-BU,24.5
Parks Department,Rec Attendant *,15.68
Police Department,Pol Ofcr-Patrl,44.95
Arts and Culture,"Accountant,Sr",39.96
Seattle Center,Usher *,15.68
City Light,Hydroelec Maint Mach,44.31
Dept of Finance & Admn Svc,"Accountant,Sr",39.96
Parks Department,Res&Eval Aide *,23.18
Human Services,Human Svcs Coord,32.55
City Light,"MatSup,Elec-Asg Cs &/or Cdt",33.9
Legislative-City Council,"Publc Relations Spec,Sr",39.4
Seattle Dept of Transportation,"StratAdvsr3,Exempt",59.4
Seattle Information Technology,StratAdvsr1 *,40.39
City Light,Lnwkr,46.27
Seattle Dept of Transportation,"Transp Plnr,Asst",34.33
Fire Department,Fireftr-90.46 Hrs,41.11
Seattle Center,Stage Tech *,30.42
City Light,"Manager3,Utils-BU",60.56
Parks Department,Maint Laborer,25.39
Parks Department,"Manager2,Exempt",57.5
Seattle Dept of Transportation,Elecl Maint Hlpr,26.18
Police Department,Pol Ofcr-Patrl,49.29
Parks Department,Rec Attendant *,15.68
Seattle Dept of Const and Insp,Bldg Inspector Supv,45.87
Parks Department,Rec Leader *,17.52
City Light,"Publc Relations Spec,Sr",39.4
Seattle Center,Dining Room Attendant,16.59
Dept of Education & Early Lrng,"StratAdvsr2,Exempt",50.5
Parks Department,Facilities Lead Wkr,27.73
City Light,Elecl Work Rev CC,50.54
Parks Department,Rec Leader,28.14
Seattle Dept of Transportation,Bridge Op,29.68
Police Department,Pol Comms Dispatcher III,38.51
Seattle Information Technology,Info Technol Prof B-BU,55.72
Seattle Public Utilities,Maint Laborer *,25.39
City Budget Office,Executive4,86.83
Seattle Center,Usher *,15.68
Seattle Dept of Transportation,"Bridge Op,Sr",31.32
Seattle Dept of Transportation,Bridge Op *,27.52
City Light,Elecl Pwr Systs Engr,60.59
Seattle Dept of Transportation,Student Engr Intern *,19.53
Seattle Public Utilities,"Constr&Maint Equip Op,Sr",34.75
Dept of Finance & Admn Svc,"Remittance Proc Tech,Sr",26.45
Parks Department,Laborer,21.6
City Light,Meter Reader Supv,33.17
Office of Sustainability & Env,"StratAdvsr2,General Govt",57.73
Seattle Dept of HumanResources,"Mgmt Systs Anlyst,Sr",46.8
Human Services,"Grants&Contracts Spec,Sr",35.93
City Light,"Elecl Engrng Spec,Sr",45.36
Fire Department,Fire Equip Tech,29.58
Parks Department,Rec Cntr Coord,31.47
Seattle Center,Carpenter CC,37.73
Police Department,Pol Ofcr-Detective,50.38
City Auditor,Exec Manager-City Auditor,72.84
Seattle Dept of Const and Insp,Plng&Dev Spec II,39.4
Seattle Public Utilities,Executive2,72.17
Police Department,Pol Ofcr-Patrl,46.68
Seattle Public Utilities,"Truck Drvr,Heavy",31.48
Seattle Dept of Transportation,"Civil Engr,Sr",56.96
Seattle Public Utilities,Actg Tech III-BU,29.09
Police Department,Pol Ofcr-Patrl,46.68
Parks Department,Cashier,17.36
City Light,Electric Util Exec 2,105.0
City Light,Lnwkr,46.27
Seattle Center,Stage Tech *,30.42
Human Services,Counslr,30.78
Seattle Dept of Transportation,"Transp Plnr,Asst *",31.86
City Light,"StratAdvsr2,General Govt",53.42
Fire Department,Fire Lieut-90.46 Hrs,46.49
Police Department,Pol Data Tech,26.26
Seattle Dept of Transportation,Constr&Maint Equip Op,33.1
Dept of Education & Early Lrng,Executive1,66.68
Dept of Finance & Admn Svc,Admin Spec II-BU,25.39
Police Department,Pol Ofcr,37.18
Office of Housing,"Manager2,Exempt",56.41
Seattle Public Utilities,"Civil Engr,Sr",56.96
Fire Department,Fireftr-90.46 Hrs,33.57
Seattle Public Utilities,Executive2,65.77
Human Services,Plng&Dev Spec II,39.4
Fire Department,Fireftr-MU-90.46 Hrs,42.9
Fire Department,Fire Lieut-MU-90.46 Hrs,49.0
Police Department,Crime Prev Coord,32.55
Parks Department,Laborer,22.95
Seattle Public Utilities,Laborer,22.95
Seattle Public Utilities,"Envrnmtl Anlyst,Sr",48.44
Fire Department,Fireftr-Ap Drvr-90.46,42.18
Fire Department,Fireftr-Dispatcher-84 Hrs,44.46
Seattle Public Utilities,Pmp Stat Maint Leadwkr,30.5
Police Department,Pol Ofcr,37.18
Seattle Public Utilities,Wtr Pipe Wkr Sr-WDM II,36.53
City Light,Res&Eval Asst-BU,31.93
Seattle Information Technology,Info Technol Prof B-BU,48.39
Fire Department,Fireftr-90.46 Hrs,38.6
Seattle Public Utilities,"Plng&Dev Spec,Sr",46.8
Seattle Center,"Manager1,CSPI&P",46.58
Planning and Community Develop,"StratAdvsr3,Exempt",55.08
Mayor's Office,Mayoral Staff Asst 2,39.21
Parks Department,"Fin Anlyst,Sr",44.9
Seattle Dept of HumanResources,"Personnel Anlyst,Sr",39.4
City Light,Strucl Iron Wkr,44.92
Seattle Public Utilities,Student Engr Intern *,21.03
Seattle Center,Laborer *,21.6
Fire Department,Fireftr-90.46 Hrs,38.6
Seattle Center,Usher *,15.68
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Intergovernmental Relations,Executive2,63.85
Fire Department,Fire Lieut-90.46 Hrs,45.77
City Light,Pwr Structs Mechanic,39.18
Seattle Public Utilities,Util Act Rep I,24.56
Seattle Center,Dining Room Attendant,16.07
Seattle Dept of Const and Insp,Elevator Inspector(J),39.26
Parks Department,Laborer,22.95
Seattle Center,Laborer,22.95
Parks Department,Rec Leader,17.52
City Light,Hydro Maint Wkr I-Gen,27.12
Seattle Center,Laborer *,21.6
City Light,Cblspl-Net Area,44.92
City Light,HVAC Tech,37.27
Parks Department,Rec Attendant *,15.68
Seattle Public Utilities,"Civil Engrng Spec,Assoc",38.67
Seattle Public Utilities,Disposal CC I,36.83
City Light,Lnwkr,46.27
Police Department,Pol Ofcr-Patrl,50.16
Human Services,Human Svcs Prgm Supv,39.4
City Light,Mat Controller-BU,27.86
Parks Department,"Parks Special Events Schdlr,Sr",29.58
Police Department,Pol Ofcr-Patrl,49.29
Dept of Finance & Admn Svc,Info Technol Prof A *,58.15
Fire Department,Fireftr-90.46 Hrs,37.88
Parks Department,Special C Lead Wkr,30.78
Seattle Public Utilities,Wtr Pipe Wkr,32.76
Police Department,Pol Ofcr,43.43
Police Department,"Mgmt Systs Anlyst,Sr",43.38
Parks Department,Aquatic Cntr Coord,35.31
City Light,Jrnywkr In Chg,48.74
Parks Department,"Lifeguard,Sr",20.77
Fire Department,Fireftr-90.46 Hrs,35.36
Dept of Finance & Admn Svc,"StratAdvsr2,Exempt",54.33
City Light,Info Technol Prof A *,59.28
City Light,Hydroelec Maint Mach,44.31
Seattle Public Utilities,"Civil Engrng Spec,Sr",48.84
Human Services,"Grants&Contracts Spec,Sr",35.93
Dept of Finance & Admn Svc,Executive2,63.13
Seattle Public Utilities,Util Act Rep II,32.08
City Light,"Elecl Pwr Systs Engr,Prin",60.57
City Light,Line C CC,52.06
Parks Department,Rec Leader *,17.52
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Seattle Dept of Transportation,"Envrnmtl Anlyst,Sr",46.69
Seattle Dept of Transportation,Res&Eval Asst-BU,29.58
Neighborhoods Department,Grants&Contracts Spec,29.58
Fire Department,Fire Capt-90.46 Hrs,51.96
Parks Department,"Civil Engrng Spec,Assoc",41.7
Parks Department,Pntr,32.88
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Parks Department,Work Trng Enrollee *,15.0
Police Department,Pol Ofcr-Patrl,44.95
Seattle Center,Janitor-SC/Parks/SPU,20.35
Police Department,Pol Ofcr-Patrl,50.16
Seattle Information Technology,Info Technol Prof C-BU,43.26
Seattle Public Utilities,"Plng&Dev Spec,Sr",46.8
Planning and Community Develop,"StratAdvsr2,Exempt",54.28
Fire Department,Fire Lieut-90.46 Hrs,47.21
Seattle Center,Admin Spec II-BU,26.45
Parks Department,Rec Attendant,19.96
Office of Labor Standards,Plng&Dev Spec II,39.4
Parks Department,Rec Attendant *,15.68
Seattle Public Utilities,Util Act Rep I,29.65
Seattle Center,"Events Booking Rep,Sr",39.4
Mayor's Office,"StratAdvsr2,Exempt",51.58
Dept of Finance & Admn Svc,Cust Svc Rep,23.89
Seattle Public Utilities,Wtr Treatment Op-WDM I,30.64
Seattle Dept of Transportation,"Personnel Spec,Supvsng",47.66
Seattle Center,Usher *,15.68
Seattle Information Technology,"Info Technol Prof A,Exempt",61.95
City Light,Warehouser-BU,26.14
Parks Department,Rec Attendant,19.96
Police Department,Pol Ofcr-SWAT,49.94
Human Services,"Manager2,Human Svcs",47.66
Police Department,Parking Enf Ofcr,29.89
Police Department,Pol Ofcr- Student,33.16
City Light,High School Intern *,15.0
Parks Department,Metal Fabricator *,35.33
Fire Department,Fire Lieut-90.46 Hrs,47.92
Police Department,Pol Ofcr-Patrl,46.68
Seattle Public Utilities,"StratAdvsr2,Utils",56.18
City Light,Meter Elctn Working CC,50.54
City Light,Lnwkr,46.27
Seattle Public Utilities,Util Act Rep I,29.65
Parks Department,"Plumber,Sr",40.06
Seattle Center,Actg Tech II-BU,26.45
Parks Department,Plumber,37.08
Dept of Finance & Admn Svc,Info Technol Prof C-BU,41.6
Fire Department,Fireftr-90.46 Hrs,40.39
Fire Department,Fire Lieut-90.46 Hrs,46.49
City Light,Elctn-Con,44.92
Parks Department,Res&Eval Aide *,23.18
Fire Department,Fireftr-90.46 Hrs,41.11
Parks Department,Rec Attendant *,15.68
City Light,Enrgy Res&Eval Anlyst,41.77
Seattle Public Utilities,"StratAdvsr2,Fin,Bud,&Actg",57.14
Police Department,Pol Ofcr-DWI-Am/Pm Enf,45.82
Seattle Information Technology,"Info Technol Prof A,Exempt",55.57
City Light,Strucl Pntr,34.02
Police Department,Pol Ofcr-Detective,48.64
Police Department,Pol Data Tech,27.2
Police Department,Pol Ofcr,38.6
City Light,"StratAdvsr2,General Govt",50.15
Seattle Public Utilities,"Civil Engrng Spec,Sr",48.84
Police Department,Pol Data Tech,25.34
Seattle Public Utilities,"StratAdvsr1,Utils",47.7
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr CI,30.49
Seattle Public Utilities,"Plng&Dev Spec,Sr",46.8
City Light,"MatSup,Elec-Asg Cs &/or Cdt",33.9
Seattle Center,Util Laborer,24.5
Fire Department,Fireftr-90.46 Hrs,35.36
Seattle Dept of HumanResources,"Workers' Comp Anlyst,Sr",43.38
City Light,"Elecl Engrng Spec,Assoc",43.32
Seattle Dept of Transportation,"Civil Engr,Sr",52.71
Police Department,Pol Sgt-Detective,55.94
Seattle Public Utilities,Wtr Pipe Wkr,32.76
Police Department,Pol Sgt-Patrl,56.69
Fire Department,Fireftr-90.46 Hrs,37.88
Office for Civil Rights,Plng&Dev Spec II,40.93
City Light,"Elecl Engr,Asst I",33.36
Parks Department,Facilities Maint Wkr,28.77
Seattle Center,Laborer *,21.6
Dept of Finance & Admn Svc,"StratAdvsr2,Exempt",47.05
Seattle Dept of Const and Insp,Site Dev Insp,39.4
Human Services,"Fin Anlyst,Asst",32.41
Seattle Dept of Transportation,Civil Engr Supv,61.41
Arts and Culture,"StratAdvsr1,General Govt",39.29
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",48.84
City Light,"Mech Engr,Asst I *",33.36
Seattle Dept of Transportation,Maint Laborer,25.39
Human Services,Plng&Dev Spec II,40.93
Seattle Public Utilities,"StratAdvsr1,CSPI&P",37.21
Seattle Dept of Transportation,Admin Staff Anlyst,33.83
Seattle Public Utilities,Publc Ed Prgm Spec,33.83
Seattle Information Technology,"Info Technol Prof A,Exempt",63.94
City Light,Executive2,73.53
Parks Department,Rec Cntr Coord,32.71
Police Department,Crime Prev Coord,36.58
Seattle Dept of Transportation,Executive3,83.83
Dept of Finance & Admn Svc,Supply&Inventory Tech,24.5
Seattle Center,Parking Attendant,21.57
Seattle Dept of Transportation,Maint Laborer,25.39
Seattle Dept of Transportation,Capital Prjts Coord *,41.57
Police Department,Admin Spec I-BU,22.77
Seattle Center,Stage Tech *,30.42
City Light,"Elecl Engr,Asst I *",33.36
City Light,"Civil Engr,Assoc",40.88
Parks Department,"Tree Trimmer,Lead",33.15
City Light,"Manager3,Utils-BU",63.82
City Light,Jrnywkr In Chg,48.74
Seattle Dept of Transportation,Maint Laborer,25.39
Seattle Dept of Const and Insp,Site Dev Insp,44.23
Parks Department,Work Trng Enrollee *,15.0
Police Department,Pol Sgt-Diver,59.44
Seattle Center,Parking Attendant *,18.54
Police Department,Pol Comms Dispatcher I,30.65
Dept of Finance & Admn Svc,Carpenter,32.88
Parks Department,Golf Course Maint Supv,36.67
Parks Department,Rec Attendant *,15.68
Fire Department,Fireftr-Ap Drvr-90.46,42.18
Seattle Public Utilities,Wtr Pipe Wkr-WDM I,33.07
Fire Department,Fireftr-HM-90.46 Hrs,37.15
City Light,Janitor-FAS/CL,21.03
Seattle Public Utilities,Wtr Pipe Wkr Sr-WDM II,36.53
Parks Department,Rec Attendant *,15.68
Parks Department,Lifeguard *,16.47
Seattle Public Utilities,Laborer,22.95
Police Department,Pol Sgt-SWAT,56.94
Parks Department,Rec Prgm Spec,31.31
Seattle Public Utilities,Admin Staff Asst,34.48
Seattle Public Utilities,Admin Staff Asst,29.58
Fire Department,Fire Lieut-90.46 Hrs,47.21
Seattle Dept of Const and Insp,"Civil Engr,Sr",54.86
Seattle Information Technology,Info Technol Prof B-BU,50.99
Seattle Center,Stage Tech *,30.42
Fire Department,Fireftr-Ap Drvr-90.46,43.62
City Light,Publc Relations Spec,31.31
City Light,Prgm Intake Rep,30.21
Dept of Finance & Admn Svc,Executive2,63.15
Dept of Finance & Admn Svc,Animal Contrl Ofcr II,28.8
Fire Department,Fireftr-90.46 Hrs,37.88
Seattle Information Technology,"Info Technol Prof A,Exempt",65.24
Police Department,Pol Ofcr-Detective-Homicide,50.37
Seattle Dept of HumanResources,"StratAdvsr3,General Govt",59.3
Seattle Public Utilities,Civil Engrng Spec Supv,51.14
Seattle Public Utilities,Gardener,26.45
Fire Department,Fire Battalion Chief-91.4 Hrs,60.98
Seattle Public Utilities,Scale Attendant,24.72
Police Department,Pol Ofcr-Patrl,48.86
Dept of Finance & Admn Svc,Info Technol Prof B-BU,48.41
Seattle Public Utilities,"Warehouser,Sr-BU *",26.69
Police Department,Pol Ofcr- Student,35.56
Human Services,Counslr,33.16
City Light,Pwr Dispatcher,54.42
Police Department,Pol Ofcr-Detective,46.04
Parks Department,Maint Laborer,25.39
Seattle Dept of Transportation,"Transp Plnr,Assoc *",38.56
City Light,Executive2,69.13
Police Department,Pol Ofcr-Academy Instructor,47.33
Parks Department,Rec Attendant *,15.68
City Light,Mach Spec,31.35
Dept of Finance & Admn Svc,Actg Tech II,26.45
City Light,"Capital Prjts Coord,Sr *",51.5
Fire Department,Fireftr-Ap Drvr-90.46,42.18
City Light,Civil Engrng Spec Supv,49.2
City Light,Actg Tech III-BU,29.09
Seattle Center,"Manager1,P&FM",40.91
Seattle Public Utilities,Executive2,69.17
Seattle Public Utilities,"StratAdvsr2,P&FM",53.51
Police Department,Pol Ofcr,38.6
Seattle Dept of Transportation,"Civil Engr,Assoc",45.92
City Light,Elecl PwrSystsEngr-Mrt,61.88
Human Services,"Grants&Contracts Spec,Sr",35.93
Seattle Dept of Transportation,Engrng Emerg Laborer,32.34
Dept of Finance & Admn Svc,Licenses&Standards Inspector,32.38
Seattle Dept of Transportation,"Grounds Equip Mechanic,Sr",32.55
Office for Civil Rights,"StratAdvsr1,Exempt",43.05
City Light,"Capital Prjts Coord,Sr",53.43
Dept of Finance & Admn Svc,"Info Technol Prof A,Exempt",50.07
Parks Department,Lifeguard *,16.47
Parks Department,"Work Trng Enrollee,Tier II *",15.93
City Light,Enrgy Mgmt Anlyst,44.72
Fire Department,Fireftr-TRTDiveDriver-90.46 Hr,45.78
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Seattle Dept of Transportation,Traffic Sign&Marking Lead Wkr,28.77
Seattle Center,Laborer *,21.6
Seattle Dept of Transportation,"Civil Engr,Sr",50.78
Seattle Dept of Transportation,"Civil Engr,Assoc",45.92
City Light,Security Prgms Spec *,37.94
Seattle Information Technology,"StratAdvsr2,Exempt",47.66
Fire Department,Fireftr-Dispatcher-84 Hrs,47.16
Seattle Dept of HumanResources,"StratAdvsr1,General Govt",47.57
Police Department,Pol Ofcr,38.6
Police Department,Pol Recruit,28.21
Fire Department,Fireftr-90.46 Hrs,31.78
Parks Department,Lifeguard *,16.47
Fire Department,Fireftr-ParamedTechSr-90.46,47.03
Fire Department,"Fire Chief,Dep-80 Hrs",78.48
Seattle Public Utilities,"Plng&Dev Spec,Sr",46.8
City Light,Admin Spec II-BU,26.45
Seattle Information Technology,"Info Technol Prof A,Exempt",65.04
Human Services,"Grants&Contracts Spec,Sr",35.93
Seattle Public Utilities,"Civil Engr,Sr",56.96
Seattle Dept of Transportation,Actg Tech II-BU,26.45
Seattle Public Utilities,Scale Attendant,24.72
Seattle Public Utilities,"Civil Engrng Spec,Sr",48.84
City Light,"Prjt Fund&Agreemts Coord,Sr",41.77
Police Department,Pol Ofcr-Patrl,49.29
Police Department,Pol Ofcr-Patrl,44.95
Fire Department,Fireftr-90.46 Hrs,38.6
Parks Department,Maint Laborer,25.39
Police Department,"Mgmt Systs Anlyst,Asst",34.48
Police Department,Pol Ofcr,37.18
City Light,Admin Staff Asst *,31.93
Police Department,Pol Ofcr-Detective,48.64
Parks Department,Lifeguard *,16.47
Fire Department,Fireftr-90.46 Hrs,31.78
Police Department,Pol Ofcr-Patrl,48.86
Police Department,Pol Sgt-Patrl,48.37
Seattle Information Technology,"StratAdvsr2,Exempt",50.27
City Light,Capital Prjts Coord Supv-BU,55.43
City Light,"StratAdvsr2,Utils-BU",53.05
City Light,"StratAdvsr2,Utils-BU",51.81
Police Department,Pol Sgt-Patrl,56.19
Seattle Center,Parking Attendant *,18.54
Parks Department,Work Trng Enrollee *,15.0
Seattle Center,Stage Tech *,30.42
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
City Light,"Elec Engrng Des Spec,Asst III",41.99
Police Department,"Manager2,General Govt",47.93
Police Department,Pol Ofcr-Patrl,44.95
Parks Department,Lifeguard *,16.47
City Light,Prjt Fund&Agreemts Coord,39.4
Parks Department,Lifeguard,17.11
Police Department,Pol Ofcr-Patrl,46.68
Seattle Dept of Transportation,Arboriculturist,35.93
City Light,"Elecl Engr,Asst III",40.45
Parks Department,Grounds Equip Mechanic,30.17
Police Department,Parking Enf Ofcr,29.89
Seattle Dept of Const and Insp,Noise Contrl Prgm Spec,43.38
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",45.36
Police Department,Pol Ofcr-Patrl,49.29
Seattle Center,"Manager2,CSPI&P",48.5
Police Department,Actg Tech II-BU,26.45
Parks Department,Rec Attendant *,15.68
Police Department,Equip&Facilities Coord,37.94
Dept of Finance & Admn Svc,"Info Technol Prof A,Exempt",50.07
Seattle Center,HVAC Tech,37.27
Seattle Center,HVAC Tech,37.27
Seattle Public Utilities,"Constr&Maint Equip Op,Sr",34.75
Seattle Center,"Exec Asst,Sr",48.57
City Light,Meter Reader,26.18
Police Department,Pol Ofcr,43.43
Seattle Public Utilities,"Wtr Pipe Wkr,Sr",35.14
Seattle Dept of HumanResources,"StratAdvsr2,Exempt",54.01
Dept of Finance & Admn Svc,Auto Maint CC,40.86
Seattle Dept of Transportation,Bridge Op *,27.52
Police Department,Pol Ofcr-Detective,48.64
Seattle Public Utilities,Actg Tech III-BU,29.09
Civil Service Commissions,Civil Svc Commissioner,5.53
Seattle Center,"Stage Tech,Lead",32.81
City Employees Retirement Syst,Executive4 *,107.07
Parks Department,Lifeguard *,16.47
Seattle Information Technology,Info Technol Systs Anlyst *,35.93
Seattle Public Utilities,Wtr Pipe Wkr,30.3
Seattle Dept of Transportation,Street Maint CC,36.23
Seattle Dept of Const and Insp,Admin Spec III-BU,26.45
Seattle Information Technology,Cooperative Intern *,16.12
Seattle Information Technology,Info Technol Prof B-BU,47.53
Police Department,Pol Ofcr-Detective,47.77
Legislative-City Council,Legislative Asst,30.0
Seattle Dept of Transportation,"Civil Engrng Spec,Asst I",29.5
Fire Department,Fire Capt-90.46 Hrs,51.96
Dept of Finance & Admn Svc,Executive2,68.48
Parks Department,Work Trng Enrollee *,15.0
Human Services,"Grants&Contracts Spec,Sr",31.93
Seattle Public Utilities,Student Engr Intern *,21.03
Seattle Public Utilities,"Civil Engrng Spec,Sr",45.36
Police Department,Pol Ofcr,35.56
Seattle Public Utilities,"Wtr Quality Anlyst,Sr",39.4
Seattle Dept of Const and Insp,Publc Relations Supv,42.56
Parks Department,Cashier *,16.28
Seattle Public Utilities,"Trng&Ed Coord,Asst",29.09
Seattle Dept of Transportation,"Civil Engr,Asst I *",32.06
Fire Department,Fire Lieut-ParamedTechSr-84,56.44
Police Department,Admin Spec III-BU,28.51
Seattle Dept of Const and Insp,Permit Spec II,37.94
Police Department,Pol Ofcr-Patrl,48.86
City Light,"Electric Util Exec 3,Dir",93.88
City Light,"Pwr Dispatcher,Sr",61.53
Seattle Public Utilities,"Manager2,Info Technol",52.63
Seattle Dept of Transportation,"Cement Finisher,Sr",32.44
Fire Department,Fireftr-Prev Insp I-80 Hrs,51.15
Police Department,Pol Ofcr-Patrl,51.03
Seattle Center,Executive2,60.4
Dept of Finance & Admn Svc,"Warehouser,Sr-BU",28.77
Police Department,Pol Ofcr-Patrl,49.29
Seattle Center,Sound Op *,33.5
Seattle Dept of Transportation,"Maint Laborer,Sr-Traffic",27.18
Parks Department,Admin Spec I-BU *,21.99
City Light,"Enrgy Mgmt Anlyst,Sr *",45.96
Arts and Culture,"Arts Prgm Spec,Sr",36.58
Parks Department,"Gardener,Sr",27.45
Dept of Finance & Admn Svc,"StratAdvsr2,Exempt",55.45
Seattle Dept of Transportation,Civil Engr Supv,61.41
Police Department,Pol Ofcr-Detective,48.64
Police Department,Equip&Facilities Coord,37.94
Parks Department,Rec Attendant *,15.68
Seattle Information Technology,Info Technol Prof B-BU,53.59
Seattle Public Utilities,Civil Engr Supv,61.41
Seattle Dept of Transportation,"Constr&Maint Equip Op,Sr",34.75
City Light,Hydroelec Op II,44.92
Fire Department,Fire Lieut-ParamedTechSr-80,60.08
Seattle Dept of Const and Insp,Permit Spec I,33.83
Office of Housing,"Fin Anlyst,Sr",44.9
Seattle Dept of Transportation,Exec Asst,46.8
City Light,"Accountant,Prin",43.23
Police Department,Pol Sgt-Detective,56.94
Police Department,Pol Ofcr-Patrl,44.08
Police Department,Pol Comms Dispatcher I,26.41
Police Department,Pol Ofcr-Detective,47.77
Seattle Dept of Transportation,"Civil Engrng Spec,Assoc",40.1
Seattle Center,Laborer,22.95
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",48.84
Seattle Dept of Const and Insp,Exec Asst,41.77
Parks Department,Tree Trimmer,30.35
Seattle Public Utilities,Util Act Rep Trne,23.63
Police Department,Pol Sgt-Detective,55.94
Seattle Public Utilities,"StratAdvsr2,Engrng&Plans Rev",57.36
Seattle Dept of Transportation,Tree Trimmer,30.35
Dept of Education & Early Lrng,Executive3,81.05
Police Department,Pol Sgt-Motorcycle,54.45
City Light,Cblspl CC-Net Area,50.54
City Light,Elecl Pwr Systs Engr,60.59
Community Police Commission,"StratAdvsr1,Exempt",45.2
Seattle Public Utilities,"Manager2,P&FM",53.96
Human Services,Registered Nurse Consultant,40.77
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr CI,29.35
Seattle Public Utilities,"Mgmt Systs Anlyst,Sr",46.8
Parks Department,Maint Laborer,25.39
Fire Department,Fireftr-90.46 Hrs,37.88
